,country,platform,city,client_version,media,network,target_metric
0,HK,Windows,Hong Kong,cv_10,Audio,ethernet,True
1,IN,Android,Hyderabad,cv_01,Video,3G,True
2,UK,Windows,Liverpool,cv_04,Video,wi-fi,True
3,US,Android,Miami,cv_09,Audio,wi-fi,True
4,AE,Mac,Abu Dhabi,cv_08,Video,wi-fi,True
5,UK,Android,London,cv_06,Audio,LTE,True
6,AU,Windows,Canberra,cv_06,Audio,wi-fi,True
7,FR,Windows,Nice,cv_10,Audio,wi-fi,True
8,KR,Mac,Seoul,cv_05,Audio,wi-fi,True
9,NG,Windows,Lagos,cv_08,Video,wi-fi,True
10,US,Mac,Chicago,cv_04,Audio,ethernet,True
11,AU,Windows,Canberra,cv_09,Video,wi-fi,True
12,KR,Windows,Seoul,cv_04,Audio,wi-fi,True
13,US,iOS,Seattle,cv_05,Audio,3G,True
14,IN,iOS,Hyderabad,cv_03,Video,wi-fi,True
15,US,Android,San Francisco,cv_02,Audio,LTE,False
16,FR,iOS,Paris,cv_03,Audio,wi-fi,True
17,RU,Windows,Yekaterinburg,cv_03,Audio,ethernet,True
18,HK,Windows,Kowloon,cv_08,Video,ethernet,True
19,IN,Windows,Mumbai,cv_08,Audio,wi-fi,True
20,HK,Windows,Kowloon,cv_07,Audio,wi-fi,True
21,UK,Android,London,cv_07,Video,wi-fi,True
22,BE,Windows,Brussels,cv_07,Audio,wi-fi,True
23,IN,iOS,Mumbai,cv_05,Video,wi-fi,True
24,UK,Mac,London,cv_02,Audio,wi-fi,False
25,RU,Mac,Kazan,cv_10,Video,wi-fi,True
26,US,Android,San Francisco,cv_04,Video,wi-fi,False
27,US,Android,Chicago,cv_04,Audio,wi-fi,True
28,FR,Windows,Paris,cv_08,Video,wi-fi,True
29,DK,Windows,Copenhagen,cv_07,Audio,ethernet,True
30,HK,iOS,Hong Kong,cv_08,Audio,LTE,True
31,UK,iOS,Liverpool,cv_06,Video,wi-fi,True
32,HK,iOS,Kowloon,cv_08,Audio,LTE,True
33,US,Android,Seattle,cv_08,Audio,LTE,True
34,FI,Windows,Helsinki,cv_06,Audio,ethernet,True
35,UK,Windows,Birmingham,cv_09,Video,ethernet,True
36,UK,Windows,London,cv_05,Audio,ethernet,True
37,AE,iOS,Dubai,cv_07,Audio,wi-fi,True
38,IN,Windows,New Delhi,cv_03,Video,wi-fi,True
39,AU,Windows,Canberra,cv_02,Audio,wi-fi,True
40,US,Android,New York,cv_07,Audio,LTE,False
41,HK,Android,Kowloon,cv_05,Audio,wi-fi,True
42,UK,Android,Liverpool,cv_03,Audio,wi-fi,True
43,IN,Mac,New Delhi,cv_09,Audio,wi-fi,True
