,country,platform,city,client_version,media,network,target_metric
0,US,iOS,New York,cv_05,Audio,3G,True
1,FR,Windows,Paris,cv_07,Audio,ethernet,True
2,US,Android,Seattle,cv_09,Audio,wi-fi,True
3,NG,Windows,Lagos,cv_09,Audio,wi-fi,True
4,FI,Windows,Helsinki,cv_01,Video,wi-fi,True
5,US,Windows,Seattle,cv_06,Audio,wi-fi,True
6,US,iOS,New York,cv_03,Audio,wi-fi,True
7,IN,Windows,Mumbai,cv_08,Audio,ethernet,True
8,RU,Android,Saint Petersburg,cv_07,Audio,wi-fi,True
9,IN,Android,New Delhi,cv_08,Video,LTE,True
10,US,Android,New York,cv_08,Video,wi-fi,True
11,AU,Android,Melbourne,cv_08,Video,wi-fi,True
12,UK,Windows,Liverpool,cv_07,Audio,wi-fi,True
13,DK,Windows,Copenhagen,cv_06,Video,ethernet,True
14,US,Android,San Francisco,cv_07,Audio,wi-fi,False
15,HK,Windows,Hong Kong,cv_04,Audio,ethernet,True
16,DK,Windows,Copenhagen,cv_06,Video,wi-fi,True
17,DK,Android,Copenhagen,cv_07,Audio,wi-fi,True
18,BE,Mac,Antwerp,cv_08,Audio,wi-fi,True
19,FR,iOS,Paris,cv_07,Audio,wi-fi,True
20,UK,Windows,London,cv_07,Audio,ethernet,True
21,AE,iOS,Abu Dhabi,cv_06,Audio,wi-fi,True
22,US,iOS,Seattle,cv_09,Video,3G,True
23,FI,Windows,Helsinki,cv_07,Video,wi-fi,True
24,AE,Windows,Abu Dhabi,cv_05,Video,wi-fi,True
25,US,Android,Miami,cv_07,Audio,wi-fi,True
26,US,Windows,Seattle,cv_08,Video,wi-fi,True
27,FI,Windows,Helsinki,cv_08,Audio,wi-fi,True
28,US,Android,Miami,cv_07,Video,wi-fi,False
29,FI,iOS,Helsinki,cv_05,Audio,wi-fi,False
30,IN,Windows,New Delhi,cv_06,Audio,wi-fi,False
31,HK,Windows,Hong Kong,cv_09,Video,ethernet,True
32,UK,Mac,Birmingham,cv_05,Audio,ethernet,True
33,UK,Windows,London,cv_08,Audio,wi-fi,True
34,US,iOS,Miami,cv_08,Audio,3G,True
35,KR,Windows,Seoul,cv_08,Audio,ethernet,False
36,AE,Windows,Abu Dhabi,cv_05,Audio,ethernet,True
37,FR,Windows,Paris,cv_03,Audio,wi-fi,False
38,AE,Windows,Sharjah,cv_07,Video,wi-fi,True
39,RU,Windows,Novosibirsk,cv_08,Video,ethernet,True
40,US,Android,Los Angeles,cv_10,Audio,wi-fi,True
41,US,Android,San Francisco,cv_05,Video,wi-fi,True
42,KR,Android,Incheon,cv_07,Audio,wi-fi,True
43,RU,Mac,Novosibirsk,cv_08,Audio,wi-fi,True
44,DK,Windows,Arhus,cv_07,Audio,ethernet,True
45,UK,Windows,Manchester,cv_08,Audio,ethernet,True
46,KR,Android,Busan,cv_09,Audio,LTE,True
47,UK,Windows,Birmingham,cv_10,Video,wi-fi,True
48,US,Windows,New York,cv_07,Audio,wi-fi,True
49,NG,Mac,Lagos,cv_08,Audio,wi-fi,True
50,NG,Windows,Lagos,cv_10,Video,ethernet,False
51,IN,Android,New Delhi,cv_04,Video,LTE,True
52,US,Android,San Francisco,cv_08,ScreenShare,wi-fi,True
53,IN,Windows,Hyderabad,cv_08,ScreenShare,ethernet,True
54,US,Android,New York,cv_08,Audio,wi-fi,True
55,US,Android,New York,cv_08,Video,wi-fi,True
56,US,Android,New York,cv_05,Video,wi-fi,False
57,AE,Windows,Sharjah,cv_08,Audio,wi-fi,True
58,FR,Windows,Montpellier,cv_07,Video,ethernet,True
59,IN,Android,New Delhi,cv_05,Audio,wi-fi,False
60,DK,Windows,Copenhagen,cv_08,Video,wi-fi,True
61,HK,Android,Hong Kong,cv_08,Video,3G,True
62,FI,Windows,Helsinki,cv_04,Audio,wi-fi,True
63,FI,Android,Helsinki,cv_02,Video,wi-fi,True
64,US,Android,Chicago,cv_07,ScreenShare,wi-fi,True
65,RU,Windows,Moscow,cv_07,ScreenShare,wi-fi,True
66,RU,Android,Kazan,cv_07,Audio,wi-fi,True
67,FI,Windows,Helsinki,cv_08,Video,ethernet,True
68,US,Android,San Francisco,cv_08,Audio,wi-fi,False
69,US,Android,Seattle,cv_07,Video,wi-fi,True
70,DK,Android,Arhus,cv_06,Video,wi-fi,True
71,BE,Windows,Brussels,cv_09,Audio,ethernet,True
72,UK,Windows,Birmingham,cv_05,Audio,ethernet,True
73,RU,Windows,Yekaterinburg,cv_09,Video,wi-fi,True
74,AR,Windows,Rosario,cv_09,Video,wi-fi,True
75,IN,iOS,Mumbai,cv_08,Video,wi-fi,True
76,IN,Windows,Mumbai,cv_07,Video,ethernet,True
77,FI,Windows,Helsinki,cv_09,Video,ethernet,True
78,US,Windows,Miami,cv_07,Video,wi-fi,True
79,US,Android,San Francisco,cv_08,ScreenShare,LTE,True
80,FI,Windows,Helsinki,cv_05,Audio,ethernet,True
81,BE,Android,Ghent,cv_08,Audio,LTE,True
82,HK,Windows,Hong Kong,cv_05,Video,ethernet,True
83,US,Android,San Francisco,cv_04,Audio,LTE,True
84,IN,Windows,Hyderabad,cv_09,Audio,wi-fi,True
85,US,Windows,New York,cv_10,Audio,wi-fi,True
86,DK,Windows,Copenhagen,cv_08,Audio,wi-fi,True
87,US,Mac,Los Angeles,cv_05,ScreenShare,wi-fi,True
88,US,Windows,San Francisco,cv_09,Video,wi-fi,True
89,AE,Mac,Dubai,cv_08,Video,wi-fi,True
90,FI,Windows,Helsinki,cv_06,Audio,ethernet,True
91,IN,Windows,Mumbai,cv_07,Audio,wi-fi,True
92,US,Android,Seattle,cv_05,Audio,wi-fi,True
93,FI,Windows,Helsinki,cv_09,Audio,wi-fi,True
94,US,Android,San Francisco,cv_05,ScreenShare,3G,False
95,IN,Windows,Mumbai,cv_08,Audio,wi-fi,True
96,US,Windows,Seattle,cv_06,Audio,wi-fi,True
97,FI,Android,Helsinki,cv_04,Video,3G,True
98,RU,Windows,Moscow,cv_05,Audio,wi-fi,True
99,US,Android,San Francisco,cv_10,Audio,LTE,False
100,DK,Windows,Copenhagen,cv_08,Video,wi-fi,True
101,FR,Android,Nice,cv_08,Video,wi-fi,True
102,AE,Android,Dubai,cv_08,Audio,LTE,True
103,US,Android,Seattle,cv_07,Video,wi-fi,True
104,US,Android,New York,cv_08,Video,3G,False
105,US,Android,Los Angeles,cv_09,Video,wi-fi,True
106,AE,Windows,Abu Dhabi,cv_08,Video,wi-fi,True
107,FR,Windows,Nice,cv_08,Audio,wi-fi,True
108,AU,Windows,Canberra,cv_08,Audio,wi-fi,True
109,AE,Windows,Dubai,cv_08,Audio,wi-fi,True
110,RU,Android,Yekaterinburg,cv_10,Audio,LTE,True
111,AU,Windows,Sydney,cv_08,Audio,wi-fi,True
112,FI,Windows,Helsinki,cv_04,Audio,wi-fi,True
113,FI,Android,Helsinki,cv_08,Video,LTE,True
114,AE,Mac,Abu Dhabi,cv_07,Audio,ethernet,True
115,US,Android,Los Angeles,cv_08,Audio,LTE,True
116,US,Android,Chicago,cv_09,Audio,wi-fi,True
117,FI,Windows,Tampere,cv_06,Video,wi-fi,True
118,KR,iOS,Incheon,cv_05,Audio,wi-fi,True
119,HK,Windows,Hong Kong,cv_09,Audio,wi-fi,False
120,HK,Mac,Hong Kong,cv_05,Audio,wi-fi,True
121,US,Android,Miami,cv_08,Video,wi-fi,True
122,US,Windows,San Francisco,cv_08,Video,ethernet,True
123,US,Android,Chicago,cv_07,Audio,wi-fi,False
124,US,Android,San Francisco,cv_03,Audio,LTE,True
125,IN,Windows,Mumbai,cv_06,Audio,wi-fi,False
126,US,Android,Seattle,cv_06,Audio,LTE,True
127,HK,Windows,Hong Kong,cv_10,Audio,wi-fi,True
128,HK,Windows,Hong Kong,cv_07,ScreenShare,ethernet,True
129,RU,Windows,Yekaterinburg,cv_08,Video,wi-fi,True
130,RU,Mac,Kazan,cv_08,Audio,ethernet,True
131,NG,Windows,Lagos,cv_07,Audio,wi-fi,True
132,NG,Mac,Lagos,cv_08,Audio,ethernet,True
133,US,Mac,San Francisco,cv_09,Video,wi-fi,True
134,RU,Android,Moscow,cv_10,Audio,wi-fi,True
135,UK,iOS,London,cv_08,Audio,wi-fi,True
136,US,Android,San Francisco,cv_09,Audio,LTE,False
137,HK,Windows,Hong Kong,cv_09,Video,ethernet,True
138,US,Android,San Francisco,cv_07,Video,wi-fi,True
139,US,Android,San Francisco,cv_08,Audio,wi-fi,True
140,UK,Windows,Liverpool,cv_07,Video,wi-fi,True
141,US,Android,San Francisco,cv_08,Video,wi-fi,True
142,FI,Windows,Helsinki,cv_07,ScreenShare,ethernet,False
143,RU,Windows,Kazan,cv_03,Audio,wi-fi,True
144,BE,Windows,Brussels,cv_07,Audio,wi-fi,True
145,US,Android,Chicago,cv_02,ScreenShare,wi-fi,True
146,AU,Android,Canberra,cv_10,Audio,3G,True
147,IN,Windows,Mumbai,cv_07,Audio,wi-fi,True
148,IN,Android,Banglor,cv_05,Audio,wi-fi,True
149,US,Android,New York,cv_10,Video,wi-fi,True
150,FR,Windows,Montpellier,cv_05,Video,wi-fi,True
151,HK,Windows,Hong Kong,cv_08,Video,wi-fi,True
152,DK,Android,Copenhagen,cv_03,Audio,3G,True
153,HK,Mac,Hong Kong,cv_07,Audio,wi-fi,True
154,DK,Mac,Copenhagen,cv_07,Audio,wi-fi,True
155,US,Windows,Chicago,cv_08,Audio,ethernet,True
156,DK,Android,Copenhagen,cv_08,Audio,wi-fi,True
157,UK,Windows,Liverpool,cv_10,Audio,wi-fi,True
158,US,Android,Los Angeles,cv_09,Audio,wi-fi,True
159,IN,Mac,New Delhi,cv_07,Video,ethernet,True
160,AU,Windows,Perth,cv_10,Audio,ethernet,True
161,IN,Windows,New Delhi,cv_09,Audio,wi-fi,True
162,IN,Windows,Banglor,cv_09,Audio,wi-fi,True
163,US,Android,Seattle,cv_07,Video,wi-fi,True
164,FR,Android,Paris,cv_07,Audio,LTE,True
165,IN,Windows,Mumbai,cv_05,Audio,wi-fi,True
166,UK,Windows,Birmingham,cv_06,Audio,wi-fi,True
167,US,Windows,Los Angeles,cv_05,Video,wi-fi,True
168,US,Android,Seattle,cv_03,Audio,LTE,True
169,FI,Windows,Helsinki,cv_08,Audio,wi-fi,True
170,UK,Windows,Liverpool,cv_06,Video,wi-fi,True
171,AU,Android,Sydney,cv_08,Video,wi-fi,True
172,US,Windows,Miami,cv_08,Audio,wi-fi,True
173,DK,Windows,Copenhagen,cv_09,Video,wi-fi,True
174,US,Android,New York,cv_06,Audio,wi-fi,True
175,IN,Windows,Mumbai,cv_03,Audio,wi-fi,True
176,UK,Windows,London,cv_05,Audio,ethernet,True
177,NG,Windows,Lagos,cv_04,Video,ethernet,True
178,US,Android,San Francisco,cv_08,ScreenShare,LTE,True
179,US,Windows,San Francisco,cv_04,Audio,wi-fi,True
180,US,Windows,New York,cv_08,Audio,ethernet,True
181,IN,Windows,Mumbai,cv_08,Video,ethernet,True
182,US,Android,New York,cv_04,Video,LTE,True
183,IN,Android,Mumbai,cv_10,Video,wi-fi,True
184,RU,Windows,Moscow,cv_08,Video,wi-fi,True
185,US,Android,New York,cv_06,Video,wi-fi,True
186,HK,Windows,Hong Kong,cv_08,Video,ethernet,True
187,UK,iOS,Liverpool,cv_03,Audio,LTE,True
188,IN,Windows,Banglor,cv_07,Audio,wi-fi,True
189,BE,Windows,Antwerp,cv_02,Audio,wi-fi,True
190,US,Android,Chicago,cv_07,Audio,wi-fi,True
191,FI,Windows,Helsinki,cv_08,Audio,wi-fi,True
192,AE,Android,Abu Dhabi,cv_08,Video,wi-fi,True
193,KR,Android,Busan,cv_05,Audio,wi-fi,True
194,IN,Mac,New Delhi,cv_08,Audio,wi-fi,True
195,FI,Android,Helsinki,cv_07,Audio,LTE,True
196,US,Windows,Seattle,cv_07,Audio,ethernet,True
197,US,Android,Los Angeles,cv_08,Audio,wi-fi,True
198,HK,Windows,Hong Kong,cv_08,Video,wi-fi,True
199,AU,Mac,Perth,cv_06,Audio,wi-fi,True
200,FI,Windows,Helsinki,cv_04,Video,wi-fi,True
201,FI,Windows,Turku,cv_05,Audio,ethernet,True
202,UK,iOS,London,cv_08,ScreenShare,wi-fi,True
203,US,iOS,Seattle,cv_10,Video,LTE,True
204,RU,Windows,Kazan,cv_07,Audio,ethernet,True
205,AU,Windows,Sydney,cv_03,Audio,wi-fi,True
206,IN,Windows,Hyderabad,cv_09,Video,wi-fi,True
207,UK,Mac,Birmingham,cv_06,Audio,wi-fi,True
208,US,Android,New York,cv_02,Audio,wi-fi,True
209,AE,Android,Abu Dhabi,cv_09,Audio,wi-fi,True
210,US,Windows,Seattle,cv_07,Audio,wi-fi,True
211,FI,Windows,Helsinki,cv_03,Audio,ethernet,False
212,FR,Android,Paris,cv_09,Audio,wi-fi,True
213,US,Android,Seattle,cv_08,ScreenShare,LTE,True
214,US,Windows,New York,cv_08,Audio,ethernet,True
215,IN,Windows,New Delhi,cv_04,Video,wi-fi,True
216,UK,Windows,Liverpool,cv_04,Audio,wi-fi,True
217,HK,Mac,Kowloon,cv_08,Audio,ethernet,True
218,FI,Windows,Turku,cv_08,Audio,ethernet,True
219,IN,Windows,Mumbai,cv_07,Audio,wi-fi,True
220,UK,iOS,Liverpool,cv_05,Audio,LTE,True
221,UK,Windows,London,cv_03,Audio,wi-fi,False
222,AR,Windows,La Plata,cv_07,Video,ethernet,True
223,FI,Mac,Helsinki,cv_10,Video,wi-fi,True
224,HK,Android,Hong Kong,cv_09,Audio,wi-fi,True
225,UK,Mac,London,cv_09,Video,wi-fi,True
226,US,Android,Los Angeles,cv_04,Video,wi-fi,False
227,RU,Mac,Yekaterinburg,cv_04,Video,wi-fi,True
228,HK,Windows,Hong Kong,cv_07,ScreenShare,ethernet,True
229,DK,Windows,Arhus,cv_03,Audio,wi-fi,True
230,FI,Windows,Helsinki,cv_05,Video,ethernet,True
