"{""code"":<:NUM:> <:*:>",没有查询到要处理的账目,"{""s"":""redigo: nil returned""}","{""s"":""当前报表(<:SEQ:>)已经客户确认，无法修改""}","{""s"":""pdf IsEncrypted pdf file <:*:> <:*:>","{""s"":""不支持的操作""}",Unnamed: 6,"{""s"":""sql: no rows in result set""}","{""code"":<:NUM:> ""message"":""生成批次失败:第<:NUM:> <:*:> <:*:> <:*:>",rpc error: code = Unknown desc = <:NUM:>-inner err,"{""code"":<:NUM:> ""message"":""该凭证所在账期已结账 <:*:>","{""code"":<:NUM:> ""message"":""生成批次失败:第<:NUM:>张发票查验状态错误 <:*:>","{""code"":<:NUM:> ""message"":""批次发票校验错误! <:*:> <:*:>","{""code"":<:NUM:> <:*:> <:*:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:*:>","{""code"":<:NUM:> <:*:> ""}","{""s"":""can't convert <:NUM:> <:*:> to decimal""}","{""Message"":""Prepared statement contains too many placeholders"" ""Number"":<:NUM:>}","{""s"":{""s"":{""code"":<:NUM:> ""details"":[{""type url"":""type.googleapis.com/status.library.v1.Status"" ""value"":""CMSpBxIM56iO6aKd6ZSZ6K+v""}] ""message"":""<:NUM:>-税额错误""}}}","{""code"":<:NUM:> ""message"":""生成批次失败:第<:NUM:>张发票重复 第<:NUM:>张发票提交状态错误 ""}","{""code"":<:NUM:> ""message"":""第<:NUM:> <:NUM:>张发票未审核，不允许审批""}","{""code"":<:NUM:> ""message"":""批次发票校验错误! 第<:NUM:>张发票缺少必要信息""}",<:NUM:>-请上传一张发票,"{""s"":""NotifyCostData，errMsg:纳税人识别号格式错误""}","{""s"":""不支持的发票类型<:NUM:>""}","{""s"":{""s"":{""code"":<:NUM:> ""details"":[{""type url"":""type.googleapis.com/status.library.v1.Status"" ""value"":""CJBOEglpbm5lciBlcnI=""}] ""message"":""<:NUM:>-inner err""}}}","{""Err"":{""s"":""invalid syntax""} ""Func"":""ParseFloat"" ""Num"":""<:NUM:>.<:NUM:> ""}","{""code"":<:NUM:> ""message"":""生成批次失败:第<:NUM:> <:NUM:>张发票查验状态错误 第<:NUM:>张发票识别状态错误""}","{""code"":<:NUM:> ""message"":""当前发票[提交状态或来源错误] 不允许进行删除操作""}",rpc error: code = DeadlineExceeded desc = context deadline exceeded,"{""code"":<:NUM:> ""message"":""第<:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票未审核，不允许审批""}",发票ref()必须定义为string类型,"{""s"":""pdf IsEncrypted pdf file tmp/invoicePool/pdfTmp/0FE1k69F/发票<:NUM:>.pdf""}","{""Layout"":""<:NUM:>年<:NUM:>月<:NUM:>日"" ""LayoutElem"":""<:NUM:>"" ""Message"":"""" ""Value"":"""" ""ValueElem"":""""}","{""s"":""没有找到帐套<:SEQ:>对应的账目""}","{""code"":<:NUM:> ""message"":""批次发票校验错误! 第<:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票未指定业务类型 第<:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票缺少必要信息""}",帐套ref(<:NUM:>)为<:NUM:>或者不是数字,"{""code"":<:NUM:> ""message"":""生成批次失败:第<:NUM:> <:NUM:> <:NUM:>张发票查验状态错误 第<:NUM:> <:NUM:> <:NUM:>张发票识别状态错误""}","{""code"":<:NUM:> ""message"":""当前发票已关联附件 不允许进行转化附件操作""}","{""code"":<:NUM:> ""message"":""天津市滨海新区云账户李慧霞数字文化创意内容制作工作室 生成凭证状态无需生成""}","{""Message"":""Duplicate entry '<:SEQ:>-<:SEQ:>' for key 'uniq attach invoice ref'"" ""Number"":<:NUM:>}","{""s"":""传入refs数量(<:NUM:>)与查询的凭证数量(<:NUM:>)不一致""}","{""code"":<:NUM:> ""message"":""扫描记录(pdf <:NUM:> <:NUM:>-<:NUM:>-<:NUM:> <:NUM:>.pdf)状态为(已导入(附件池)) 不能执行当前操作""}",当前可以生成的文件为空,"{""code"":<:NUM:> ""message"":""当前发票[黑名单] 不允许进行编辑标签操作""}","{""code"":<:NUM:> ""message"":""账目状态为客户确认完成 不支持当前操作""}","{""code"":<:NUM:> ""message"":""[天津市滨海新区云账户赵恒数字文化创意内容制作工作室]损益结转失败，原因:当前帐期账目状态为[已确认] 不允许结转""}","{""code"":<:NUM:> ""message"":""批次发票校验错误! 第<:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票缺少必要信息""}","{""code"":<:NUM:> ""message"":""批次发票校验错误! 第<:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票缺少必要信息""}","{""code"":<:NUM:> ""message"":""用户运营看版数据校验失败:损益结转不平衡 资金负债表不一致 利润表不一致 服务费计提不一致 资产卡片不一致 折旧与摊销不一致 请修改错误数据或者联系研发配置白名单""}","{""s"":""当前扫描仪(<:NUM:>)连接失败:ssh: handshake failed: EOF""}",帐套ref()为<:NUM:>或者不是数字,"{""s"":""InvoiceData Convert Json err ""}","{""code"":<:NUM:> ""message"":""第<:NUM:> <:NUM:> <:NUM:>张发票未审核，不允许审批""}",context canceled,"{""Message"":""Unknown column 'acct.business status' in 'where clause'"" ""Number"":<:NUM:>}","{""s"":""can't convert <:NUM:>.<:NUM:> to decimal""}","{""s"":""query condition Refs and AccountSetRefs and FixedAssetsRefs both empty!""}","{""s"":{""s"":{""code"":<:NUM:> ""message"":""更新状态错误 Stat=<:NUM:> newState=<:NUM:>""}}}","{""code"":<:NUM:> ""message"":""批次发票校验错误! 第<:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:>张发票缺少必要信息""}","{""s"":""query condition can't empty""}",存在复核完成的成本凭证,"{""<:SEQ:>"":""存在复核完成的成本凭证""}","{""code"":<:NUM:> ""message"":""存在资产[TX140001 GZ200001 GZ110001 GZ100003 GZ230001 TX210001]关联成本发票，不允许进行[删除]操作""}",timestamp
0,12,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:38:00
6,18,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:40:00
0,0,0,54,0,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:42:00
12,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:44:00
12,24,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:46:00
30,12,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:48:00
12,18,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:50:00
0,18,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:52:00
6,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:54:00
6,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:56:00
24,24,12,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 10:58:00
6,12,0,18,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:00:00
0,12,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:02:00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:04:00
12,12,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:06:00
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:08:00
12,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:10:00
72,12,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:12:00
18,18,0,18,0,0,5070,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:14:00
0,18,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:16:00
12,18,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-10-15 11:18:00
