timestamp,"node_sockstat_TCP_inuse{hostname=~""bj2-rd-geass-prod-03""}","probe_duration_seconds{hostname=~""bj2-rd-geass-prod-03""}","irate(node_network_receive_bytes_total{hostname=~""bj2-rd-geass-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj2-rd-geass-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-01"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj1-rd-geass-prod-01""}","node_load5{hostname=~""bj1-rd-geass-prod-01""}","node_load15{hostname=~""bj1-rd-geass-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj1-rd-geass-prod-01""}[2m])","node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj1-rd-geass-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-geass-prod-01""}[2m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-geass-prod-01""}[2m])","node_sockstat_TCP_alloc{hostname=~""bj1-rd-geass-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj1-rd-geass-prod-01""}","probe_duration_seconds{hostname=~""bj1-rd-geass-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj1-rd-geass-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-geass-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)","node_load1{hostname=~""bj1-rd-geass-prod-02""}","node_load5{hostname=~""bj1-rd-geass-prod-02""}","node_load15{hostname=~""bj1-rd-geass-prod-02""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-02""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj1-rd-geass-prod-02""}[2m])","irate(node_disk_writes_completed_total{hostname=~""bj1-rd-geass-prod-02""}[2m])","irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-geass-prod-02""}[2m])","irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-geass-prod-02""}[2m])","irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-02""}[2m])","irate(node_disk_written_bytes_total{hostname=~""bj1-rd-geass-prod-02""}[2m])"
1709985540,936,0.001362283,2772073.066666667,10605921.066666666,0.0694999999056259,1.5,2.12,1.48,28.7067059844534,0.4147089515506332,0.2621208853198832,0.0,0.7333333333333333,0.0,0.0006000000013348,0.0,28125.866666666665,1653,1100,13.4,24.266666666666666,1698,1270,0.003054613,10502762.133333333,28858117.866666667,0.0725000001490115,0.85,0.6,0.85,26.67012594817718,0.4571038970531631,0.1377956767327678,0.0,0.6,0.0,0.0010666666668839,0.0,12834.133333333331
1709985660,942,0.001337643,5640048.0,13659220.266666668,0.0903787174057064,0.89,1.71,1.41,29.14641203063285,0.4147553154181534,0.2622104636551062,0.0,0.4000533404453927,0.0,0.0004000533400417,0.0,6281.370849446593,1664,1533,14.401920256034138,24.26990265368716,1709,1278,0.002931813,13486488.33177757,34238412.58834512,0.102333333219091,1.23,0.91,0.94,28.321580383414634,0.457137819463571,0.1379172362548347,0.0,0.4666666666666667,0.0,0.0006000000013348,0.0,12561.066666666668
1709985780,943,0.001391244,6325432.0,11827970.133333333,0.0870833333581686,0.5,1.3,1.29,29.014106743807044,0.4145164977609265,0.26236104271229,0.0,4.2,0.0,0.0043999999994412,0.0,29218.13333333333,1656,1484,14.6,24.133333333333333,1703,1275,0.000875317,13140037.333333334,32629028.8,0.0892500001937151,1.06,0.94,0.95,26.6377874041986,0.4571890432752757,0.138058046513128,0.0,2.0,0.0,0.0021333333337679,0.0,17476.266666666666
1709985900,936,0.001365337,5165967.466666667,8048905.066666666,0.0755833331495524,0.47,1.03,1.2,28.45628502985353,0.414558390479797,0.2624975733063074,0.0,0.6666666666666666,0.0,0.000866666669026,0.0,30037.33333333333,1650,1418,15.0,24.266666666666666,1697,1272,0.000900869,13156155.2,23965075.73333333,0.0773333334674437,1.05,0.87,0.91,26.405761425158403,0.4572282144254029,0.1382183711101573,0.0,0.6666666666666666,0.0,0.0009333333349786,0.0,12288.0
1709986020,937,0.001337706,5272554.133333334,9581483.733333332,0.0750000002483527,0.36,0.84,1.11,28.798680291652,0.4146096142915018,0.2626828393525674,0.0,2.8666666666666667,0.0,0.0039999999998447,0.0,22664.533333333333,1670,1580,15.0,24.53333333333333,1719,1291,0.001284814,13593510.933333334,25151094.933333334,0.0797499999403953,1.16,0.93,0.93,26.83385980810824,0.457346505466854,0.1384682120182896,0.0,0.5333333333333333,0.0,0.0006000000013348,0.0,13926.4
1709986140,938,0.001316565,6493811.2,16755848.533333331,0.077333333219091,0.26,0.63,1.0,29.013737862895816,0.4146637540697172,0.2628297434806448,0.0666666666666666,0.8,0.0,0.0015999999983857,273.06666666666666,42598.4,1674,1624,14.666666666666666,24.266666666666666,1722,1293,0.000869398,15546766.4,30346842.666666668,0.0750833332538605,0.59,0.76,0.86,26.98079729880937,0.4573969516874893,0.1386163488757508,0.0,0.6666666666666666,0.0,0.0007999999991928,0.0,39594.66666666666
1709986260,939,0.001372319,6383089.6,16578442.666666666,0.091166666522622,0.35,0.55,0.92,28.43245532298844,0.4147107011305396,0.2629644908812139,0.0,3.1333333333333333,0.0,0.0037999999981063,0.0,50244.26666666667,1665,1380,14.133333333333333,24.53333333333333,1712,1281,0.001672773,13844298.133333333,33500372.8,0.0868333333482345,0.35,0.6,0.79,26.8275150595558,0.457441274378452,0.1387558023564203,0.0,0.8666666666666667,0.0,0.0010666666668839,0.0,31675.733333333334
1709986380,930,0.001353195,5094852.8,12260653.866666667,0.0914166666567326,0.4,0.53,0.88,28.946626129113728,0.414752010656108,0.2630966177627155,0.0,0.6666666666666666,0.0,0.0007999999991928,0.0,30037.33333333333,1659,1302,14.133333333333333,23.8,1705,1280,0.000914961,13151553.066666666,32338485.33333333,0.0898333333432674,0.35,0.51,0.73,27.021669283670512,0.4574797651363933,0.1388865802133133,0.2666666666666666,0.8,0.0002666666667209,0.0005333333315017,1092.2666666666669,35225.6
1709986500,931,0.001546732,5168654.4,12331859.733333332,0.0817500001440446,0.44,0.53,0.83,28.88217033789245,0.4147993465124652,0.2632378544368333,0.5333333333333333,0.8666666666666667,0.0005333333334419,0.000866666669026,2184.5333333333333,33041.066666666666,1657,1482,14.6,24.53333333333333,1702,1280,0.000915702,13466048.0,29648755.2,0.0781666665027538,0.46,0.43,0.68,26.762960931841903,0.4575238934295887,0.1390313522622677,0.0,1.4666666666666666,0.0,0.0011333333328366,0.0,21299.2
1709986620,934,0.001485908,5128939.2,8747672.533333333,0.0863333334525425,0.46,0.52,0.79,28.66802267289633,0.4148490151420309,0.2633757805735495,0.0,3.533333333333333,0.0,0.0043999999994412,0.0,45875.2,1659,1632,15.0,24.53333333333333,1700,1277,0.001598705,13368929.6,23068991.466666665,0.0848333331445851,1.75,0.69,0.73,26.783913357294185,0.4575720068770154,0.1391732324366299,0.0,3.4,0.0,0.003666666666201,0.0,28398.93333333333
