get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
965,965,965,965,0,154,179,157,154,154,140,140,154,135,154,154,22,0,154,179,22,26,26,5,2,2,2,2,2,2,2,2,2023-11-01 11:10:00,0
924,924,924,924,0,149,171,143,149,149,124,124,149,122,149,149,28,0,149,171,28,29,29,2,5,5,5,5,5,2,2,2,2023-11-01 11:12:00,0
963,963,965,963,0,153,187,164,152,152,149,149,152,146,152,153,23,0,152,187,23,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 11:14:00,0
937,937,935,937,0,150,182,165,151,151,136,136,151,135,151,150,17,0,151,182,17,26,26,1,2,2,2,2,2,2,2,2,2023-11-01 11:16:00,0
961,961,961,962,0,149,180,161,149,149,150,150,149,147,149,149,19,0,149,180,19,27,27,3,3,3,3,3,3,2,2,2,2023-11-01 11:18:00,4
980,980,980,980,0,151,187,163,151,151,147,147,151,144,151,151,24,0,151,187,24,28,28,3,4,4,4,4,4,2,2,2,2023-11-01 11:20:00,0
949,949,949,949,0,148,185,171,148,148,142,142,148,138,148,148,14,0,148,185,14,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 11:22:00,0
941,941,941,941,0,143,184,159,143,143,133,133,143,129,143,143,25,0,143,184,25,27,27,4,3,2,3,3,3,2,2,2,2023-11-01 11:24:00,1
997,997,997,997,0,148,176,156,148,148,163,163,148,159,148,148,20,0,148,176,20,26,26,4,2,2,2,2,2,2,2,2,2023-11-01 11:26:00,0
961,961,962,961,0,135,188,168,135,135,145,145,135,140,135,135,20,0,135,188,20,29,29,5,5,4,5,5,5,2,2,2,2023-11-01 11:28:00,1
958,958,957,958,0,157,179,157,157,157,147,147,157,140,157,157,22,0,157,179,22,26,26,7,2,2,2,2,2,2,2,2,2023-11-01 11:30:00,0
932,932,932,959,0,143,177,162,143,143,146,146,143,143,143,143,15,0,143,177,15,26,26,3,2,2,2,2,2,2,2,2,2023-11-01 11:32:00,19
