get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,funName=concurrentNoPaging run task end,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,funName=DataCompose,parent node is not exist,no need or no have tags,computeAndCompare same,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,allNum=<:NUM:>,ClientEnvHandler is <:*:>,<:GIN:>,protection for <:*:> have compare <:NUM:>,no <:*:>,no page <:*:>,superiorAndDeputy empty,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:ownDeptIDs:>,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,msg,<:deptLeaderManageDeptIDs:>,<:listManageOrgReq:>,<:query signature:>,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,protection for <:*:> done,query ge<:updateFanweiEmployee failed:>,build <:*:> reply,GetSupervisorPosition success,no api page resources,check failed,protection.ComputeAndDiff failed,error occurred in <:NewAccessRequest:>,callback status error,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:YID:>,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,token check failed,timestamp
5610,5610,5609,5612,2026,88,240,215,88,88,183,183,88,182,0,88,88,25,2026,0,0,88,0,240,25,0,27,27,0,0,0,1,0,0,3,2,3,3,3,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:00:00
5611,5611,5612,5614,2034,100,231,211,100,100,195,195,100,191,0,100,100,20,2034,0,0,100,0,231,20,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:02:00
5630,5630,5630,5630,2035,100,238,215,100,100,182,182,100,178,0,100,100,23,2035,0,0,100,0,238,23,0,27,27,0,0,0,4,0,0,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:04:00
5651,5651,5651,5650,2038,90,248,230,90,90,186,186,90,184,0,90,90,18,2038,0,0,90,0,248,18,0,31,31,0,0,0,2,0,0,5,5,5,6,5,2,2,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:06:00
5621,5621,5620,5621,2036,90,226,207,90,90,189,189,90,186,0,90,90,19,2036,0,0,90,0,226,19,0,26,26,0,0,0,3,0,0,2,2,2,2,2,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:08:00
5670,5670,5670,5670,2044,111,237,207,111,111,191,191,111,187,0,111,111,30,2044,0,0,111,0,237,30,0,27,27,0,0,0,4,0,0,3,2,3,3,3,2,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:10:00
5634,5634,5634,5634,2026,88,231,213,88,88,197,197,88,187,0,88,88,18,2026,0,0,88,0,231,18,0,26,26,0,0,0,10,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:12:00
5600,5600,5600,5602,2030,88,245,217,88,88,199,199,88,191,0,88,88,28,2030,0,0,88,0,245,28,0,29,29,0,0,0,7,0,0,5,4,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2023-11-01 15:14:00
5667,5667,5668,5667,2039,103,239,205,103,103,197,197,103,193,0,103,103,34,2039,0,0,103,0,239,34,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:16:00
5637,5637,5638,5637,2035,92,239,212,92,92,191,191,92,181,0,92,92,27,2035,0,0,92,0,239,27,0,27,27,0,0,0,10,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:18:00
5626,5626,5624,5626,2035,83,241,216,83,83,192,192,83,188,0,83,83,25,2035,0,0,83,0,241,25,0,29,29,0,0,0,4,0,0,5,5,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:20:00
5629,5629,5630,5629,2025,104,242,209,104,104,194,194,104,190,0,104,104,33,2025,0,0,104,0,242,33,0,26,26,0,0,0,4,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:22:00
5614,5614,5613,5613,2033,90,236,209,90,90,189,189,90,182,0,90,90,27,2033,0,0,90,0,236,27,0,27,27,0,0,0,7,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:24:00
5567,5567,5567,5567,2029,79,247,213,79,79,197,197,79,190,0,79,79,34,2029,0,0,79,0,247,34,0,26,26,0,0,0,6,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:26:00
5623,5623,5623,5623,2031,99,340,215,99,99,199,199,99,191,0,99,99,125,2031,0,0,99,0,340,125,0,29,29,0,0,0,8,0,0,5,5,5,5,5,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:28:00
5598,5598,5598,5598,2039,87,233,211,87,87,181,181,87,177,0,87,87,22,2039,0,0,87,0,233,22,0,27,27,0,0,0,4,0,0,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:30:00
5651,5651,5652,5654,2049,96,238,206,96,96,185,185,96,178,0,96,96,32,2049,0,0,96,0,238,32,0,26,26,0,0,0,7,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:32:00
5649,5649,5648,5649,2044,96,239,207,96,96,186,186,96,183,0,96,96,32,2044,0,0,96,0,239,32,0,27,27,0,0,0,3,0,0,3,2,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:34:00
5623,5623,5624,5623,2031,101,246,219,101,101,194,194,101,186,0,101,101,27,2031,0,0,101,0,246,27,0,28,28,0,0,0,8,0,0,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:36:00
5596,5596,5595,5596,2026,83,266,234,83,83,195,195,83,189,0,83,83,32,2026,0,0,83,0,266,32,0,47,47,0,0,0,6,0,0,3,2,3,13,3,2,2,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:38:00
5597,5597,5598,5597,2035,89,217,200,89,89,186,186,89,183,0,89,89,17,2035,0,0,89,0,217,17,0,28,28,0,0,0,3,0,0,2,2,2,3,2,2,2,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:40:00
5613,5613,5612,5613,2033,95,235,206,95,95,191,191,95,182,0,95,95,29,2033,0,0,95,0,235,29,0,27,27,0,0,0,9,0,0,3,3,3,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:42:00
5611,5611,5612,5611,2032,81,254,218,81,81,195,195,81,185,0,81,81,36,2032,0,0,81,0,254,36,0,26,26,0,0,0,10,0,0,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:44:00
5588,5588,5588,5590,2028,86,237,211,86,86,181,181,86,179,0,86,86,26,2028,0,0,86,0,237,26,0,29,29,0,0,0,1,0,0,5,5,5,5,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:46:00
5567,5567,5566,5567,2005,86,298,221,86,86,191,191,86,183,0,86,86,77,2005,0,0,86,0,298,26,0,28,28,0,0,0,8,0,0,3,3,3,4,4,2,2,2,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-11-01 15:48:00
