get metadata from header,parseDataReportFlag ok,parse metadata,infra.grpc.invoker,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Depts only have yunzhanghu,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,approve status error,svc.ApproveCallback failed,Response=<:MAP:>,message,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown
11288,11288,11288,11288,4068,175,457,402,175,175,380,380,175,373,175,175,55,4068,175,457,55,28,28,6,4,4,4,4,4,2,2,2,1,2023-11-02 11:00:00,0
11172,11172,11173,11172,4051,188,444,387,188,188,376,376,188,365,188,188,57,4051,188,444,57,27,27,11,3,3,3,3,3,2,2,2,0,2023-11-02 11:02:00,0
11223,11223,11224,11223,4075,184,437,403,184,184,390,390,184,383,184,184,34,4075,184,437,34,31,31,7,7,6,7,7,7,2,2,2,0,2023-11-02 11:04:00,1
11307,11307,11305,11307,4088,190,448,400,190,190,389,389,190,378,190,190,48,4088,190,448,48,27,27,11,3,3,3,3,3,2,2,2,0,2023-11-02 11:06:00,6
11328,11328,11329,11328,4096,193,469,411,193,193,384,384,193,380,193,193,58,4096,193,469,58,28,28,4,4,4,4,4,4,2,2,2,0,2023-11-02 11:08:00,1
11153,11153,11153,11153,4035,174,449,404,174,174,383,383,174,375,174,174,45,4035,174,449,45,27,27,8,3,3,3,3,3,2,2,2,0,2023-11-02 11:10:00,0
11232,11232,11231,11232,4068,167,461,406,167,167,384,384,167,376,167,167,55,4068,167,461,55,31,31,8,7,7,7,7,7,2,2,2,0,2023-11-02 11:12:00,4
11235,11235,11235,11235,4071,192,427,392,192,192,389,389,192,377,192,192,35,4071,192,427,35,27,27,12,3,3,3,3,3,2,2,2,0,2023-11-02 11:14:00,0
11281,11281,11281,11281,4078,188,453,403,188,188,400,400,188,388,188,188,50,4078,188,453,50,27,27,11,3,3,3,3,3,2,2,2,1,2023-11-02 11:16:00,1
11228,11228,11231,11228,4073,174,447,400,173,173,374,374,173,367,173,174,47,4073,173,447,47,28,28,6,4,3,4,4,4,2,2,2,0,2023-11-02 11:18:00,1
11289,11289,11287,11289,4065,185,456,401,186,186,394,394,186,383,186,185,55,4065,186,456,55,30,30,10,6,6,6,6,6,2,2,2,1,2023-11-02 11:20:00,0
11250,11250,11249,11250,4062,185,465,409,185,185,389,389,185,375,185,185,56,4062,185,465,56,28,28,13,4,3,4,4,4,2,2,2,1,2023-11-02 11:22:00,1
11249,11249,11250,11249,4065,183,458,412,183,183,385,385,183,373,183,183,46,4065,183,458,46,27,27,12,3,3,3,3,3,2,2,2,0,2023-11-02 11:24:00,0
11267,11267,11267,11272,4085,196,462,397,196,196,374,374,196,367,196,196,65,4085,196,462,65,28,28,7,4,4,4,4,4,2,2,2,0,2023-11-02 11:26:00,10
11266,11266,11265,11266,4068,178,460,417,178,178,394,394,178,387,178,178,43,4068,178,460,43,30,30,7,6,6,6,6,6,2,2,2,0,2023-11-02 11:28:00,0
11238,11238,11240,11238,4069,186,450,404,186,186,370,370,186,360,186,186,46,4069,186,450,46,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 11:30:00,5
11287,11287,11286,11287,4080,186,451,395,186,186,381,381,186,373,186,186,56,4080,186,451,56,27,27,8,3,3,3,3,3,2,2,2,0,2023-11-02 11:32:00,0
11264,11264,11265,11264,4062,192,442,401,192,192,389,389,192,377,192,192,41,4062,192,442,41,28,28,12,4,3,4,4,4,2,2,2,0,2023-11-02 11:34:00,1
11148,11148,11150,11148,4029,187,447,389,187,187,381,381,187,373,187,187,58,4029,187,447,58,30,30,8,6,6,6,6,6,2,2,2,0,2023-11-02 11:36:00,0
11284,11284,11280,11284,4082,192,459,417,192,192,380,380,192,374,192,192,42,4082,192,459,42,31,31,6,3,3,3,5,3,2,2,2,0,2023-11-02 11:38:00,6
11267,11267,11267,11267,4076,187,453,403,187,187,382,382,187,373,187,187,50,4076,187,453,50,28,28,9,4,3,4,4,4,2,2,2,0,2023-11-02 11:40:00,1
11220,11220,11221,11220,4066,174,444,408,174,174,377,377,174,369,174,174,36,4066,174,444,36,31,31,8,7,7,7,7,7,2,2,2,0,2023-11-02 11:42:00,0
11258,11258,11258,11258,4066,197,452,404,197,197,373,373,197,364,197,197,48,4066,197,452,48,27,27,9,3,3,3,3,3,2,2,2,0,2023-11-02 11:44:00,0
11314,11314,11313,11314,4108,186,552,400,186,186,391,391,186,378,186,186,152,4108,186,552,152,27,27,13,3,3,3,3,3,2,2,2,0,2023-11-02 11:46:00,0
11305,11305,11305,11305,4097,189,443,397,189,189,376,376,189,366,189,189,46,4097,189,443,46,28,28,10,4,4,4,4,4,2,2,2,0,2023-11-02 11:48:00,1
11283,11283,11284,11283,4072,187,454,397,187,187,384,384,187,376,187,187,57,4072,187,454,57,30,30,6,6,6,6,6,6,2,2,2,2,2023-11-02 11:50:00,0
11275,11275,11280,11275,4091,182,451,394,182,182,390,390,182,382,182,183,57,4091,182,451,57,28,28,8,4,3,4,4,4,2,2,2,0,2023-11-02 11:52:00,8
11261,11261,11256,11261,4068,200,450,400,200,200,388,388,200,381,200,199,50,4068,200,450,50,27,27,7,3,3,3,3,3,2,2,2,0,2023-11-02 11:54:00,1
11264,11264,11264,11264,4070,195,437,387,195,195,382,382,195,372,195,195,50,4070,195,437,50,28,28,10,4,3,4,4,4,2,2,2,0,2023-11-02 11:56:00,1
11243,11243,11243,11246,4064,178,471,408,178,178,369,369,178,358,178,178,63,4064,178,471,63,31,31,11,7,7,7,7,7,2,2,2,0,2023-11-02 11:58:00,10
