parseDataReportFlag ok,infra.grpc.invoker,get metadata from header,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,funName=concurrentNoPaging run task end,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,funName=DataCompose,no need or no have tags,parent node is not exist,allNum=<:NUM:>,computeAndCompare same,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,protection for <:*:> have compare <:NUM:>,no page <:*:>,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no <:*:>,msg,Response=<:MAP:>,superiorAndDeputy empty,message,build <:*:> reply,<:ownDeptIDs:>,approve callback start,svc.ApproveCallback failed,approve status error,<:query signature:>,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,query ge<:updateFanweiEmployee failed:>,not find dictionary type=<:NUM:>,Dao.GetSession,<:deptLeaderManageDeptIDs:>,<:listManageOrgReq:>,error occurred in <:NewAccessRequest:>,token check failed,protection for <:*:> done,GetSupervisorPosition success,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,no api page resources,parent deptIDs=[<:SEQ:>],callback status error,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:YID:>,check failed,protection.ComputeAndDiff failed,<:*:> started successfully,ykmsyid <:*:> start kms,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,<:listReq:>,GrpcDataReportInterceptor parse methodSet: <:MAP:>,loadKdConfig success,len(deptYids)=<:NUM:>,len(allDeptMembers)=<:NUM:>,get other dutyCommittee backup employee success,AuthSessionVali<:updateFanweiEmployee failed:>,Dao.NewSession,Login(totp verify) success,"""userID"":""<:SEQ:>""",SendWeChatMarkdownMsg failed,Sending login weChat markdown messag<:updateFanweiEmployee failed:>,ok: true [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,[GetAuthorizedEmp] getAllEmp success count=<:NUM:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,version,ykms addr: ykms://yid@ykms:<:NUM:>,ykmsyid DefaultDEK.Error rpc error: code = Unknown desc = <:NUM:>-the kek(name:yid:<:id:>xx,captcha is using redis store,NewRedisStore use GoRediStore,Init noeq success,yos init success,ymsg init success,cuid init success,s.cfg.Prometheus.Interval=<:NUM:>,yid grpc ListFieldValues failed,timestamp
5112,5112,5112,5112,2021,24,206,24,24,184,24,119,119,118,0,2021,22,24,24,0,24,0,0,0,206,22,67,67,0,0,0,0,11,22,1,2,0,0,2,2,2,62,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:10:00
5142,5142,5142,5142,2034,24,155,24,24,144,24,120,120,118,0,2034,11,24,24,0,24,0,0,0,155,11,27,27,0,0,0,0,0,3,0,3,0,0,3,3,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:12:00
5160,5160,5160,5161,2037,24,276,24,24,144,24,119,119,119,0,2037,132,24,24,0,24,0,0,0,276,132,26,26,0,0,0,0,1,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:14:00
5171,5171,5171,5171,2041,22,178,22,22,147,22,119,119,118,0,2041,31,22,22,0,22,0,0,0,178,31,29,29,0,0,0,0,4,5,1,5,0,0,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:16:00
5164,5164,5164,5163,2047,24,163,24,24,143,24,118,118,118,0,2047,20,24,24,0,24,0,0,0,163,20,26,26,0,0,0,0,0,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:18:00
5146,5146,5146,5147,2032,24,160,24,24,144,24,119,119,119,0,2032,16,24,24,0,24,0,0,0,160,16,26,26,0,0,0,0,17,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:20:00
5148,5148,5148,5147,2028,24,174,24,24,147,24,120,120,118,0,2028,27,24,24,0,24,0,0,0,174,27,29,29,0,0,0,0,13,5,1,5,0,0,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:22:00
5109,5109,5109,5109,2014,24,214,24,24,144,24,121,121,118,0,2014,70,24,24,0,24,0,0,0,214,19,27,27,0,0,0,0,1,3,1,3,51,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:24:00
5134,5134,5134,5135,2032,24,154,24,24,144,24,118,118,118,0,2032,10,24,24,0,24,0,0,0,154,10,27,27,0,0,0,0,8,3,0,3,0,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:26:00
5140,5140,5140,5139,2034,24,157,24,24,144,24,121,121,119,0,2034,13,24,24,0,24,0,0,0,157,13,26,26,0,0,0,0,1,2,2,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:28:00
5135,5135,5135,5136,2035,24,155,24,24,146,24,119,119,118,0,2035,9,24,24,0,24,0,0,0,155,9,28,28,0,0,0,0,2,4,1,4,0,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:30:00
5130,5130,5130,5130,2033,24,149,24,24,145,24,118,118,118,0,2033,4,24,24,0,24,0,0,0,149,4,27,27,0,0,0,0,0,3,0,3,0,0,3,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:32:00
5109,5109,5109,5108,2023,24,151,24,24,143,24,118,118,118,0,2023,8,24,24,0,24,0,0,0,151,8,26,26,0,0,0,0,0,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:34:00
5147,5147,5147,5147,2040,24,150,24,24,144,24,118,118,118,0,2040,6,24,24,0,24,0,0,0,150,6,27,27,0,0,0,0,0,3,0,3,0,0,3,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:36:00
5150,5150,5150,5150,2038,24,157,24,24,146,24,119,119,119,0,2038,11,24,24,0,24,0,0,0,157,11,28,28,0,0,0,0,4,4,0,4,0,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:38:00
5143,5143,5143,5145,2039,24,146,24,24,144,24,118,118,118,0,2039,2,24,24,0,24,0,0,0,146,2,26,26,0,0,0,0,0,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:40:00
5127,5127,5127,5127,2026,24,154,24,24,145,24,118,118,118,0,2026,9,24,24,0,24,0,0,0,154,9,27,27,0,0,0,0,0,3,0,3,0,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:42:00
5135,5135,5135,5135,2035,24,148,24,24,143,24,119,119,119,0,2035,5,24,24,0,24,0,0,0,148,5,26,26,0,0,0,0,13,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:44:00
5151,5151,5151,5149,2035,24,160,24,24,147,24,119,119,118,0,2035,13,24,24,0,24,0,0,0,160,13,29,29,0,0,0,0,0,5,1,5,0,0,5,5,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15 14:46:00
