parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,no need compute team member perm,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
51,52,51,51,0,0,75,0,25,0,50,0,0,1,1,1,0,75,50,25,25,1,0,1,1,1,0,2,2,2,2023-11-30 17:00:00,1
52,50,52,52,0,0,73,0,24,0,49,0,0,1,1,0,0,73,49,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:02:00,2
55,63,55,55,0,0,78,0,24,0,54,0,0,1,1,0,0,78,54,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:04:00,2
43,47,43,43,0,0,69,0,28,0,41,0,0,2,1,0,0,69,41,28,28,4,0,4,4,4,4,2,2,2,2023-11-30 17:06:00,4
54,56,54,54,0,0,75,0,24,0,51,0,0,3,3,1,0,75,51,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:08:00,8
69,71,69,69,0,0,90,0,24,0,66,0,0,3,3,0,0,90,66,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:10:00,6
46,46,46,46,0,0,69,0,25,0,44,0,0,2,2,0,0,69,44,25,25,1,0,1,1,1,1,2,2,2,2023-11-30 17:12:00,4
72,72,72,72,0,0,92,0,24,0,68,0,0,4,3,0,0,92,68,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:14:00,8
55,57,55,55,0,0,76,0,24,0,52,0,0,3,3,0,0,76,52,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:16:00,7
53,53,53,53,0,0,74,0,24,0,50,0,0,3,2,0,0,74,50,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:18:00,6
73,79,73,73,0,0,93,0,24,0,69,0,0,4,2,0,0,93,69,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:20:00,8
49,49,49,49,0,0,70,0,24,0,46,0,0,3,3,0,0,70,46,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:22:00,6
54,54,54,54,0,0,76,0,24,0,52,0,0,2,2,0,0,76,52,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:24:00,4
61,63,61,61,0,0,83,0,24,0,59,0,0,2,2,1,0,83,59,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:26:00,2
58,58,58,58,0,0,77,0,24,0,53,0,0,5,3,1,0,77,53,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:28:00,8
57,59,57,57,0,0,78,0,26,0,52,0,0,5,3,0,0,78,52,26,26,1,0,0,0,0,0,2,2,2,2023-11-30 17:30:00,14
69,69,69,69,0,0,89,0,24,0,65,0,0,4,4,2,0,89,65,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:32:00,8
70,70,70,70,0,0,89,0,24,0,65,0,0,5,5,1,0,89,65,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:34:00,9
65,67,65,65,0,0,86,0,24,0,62,0,0,3,1,0,0,86,62,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:36:00,6
78,78,78,78,0,0,98,0,24,0,74,0,0,4,4,0,0,98,74,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:38:00,21
3,5,3,3,0,0,29,0,26,0,3,0,0,0,0,0,0,29,3,26,26,1,0,0,0,0,0,2,2,2,2023-11-30 17:40:00,7
10,10,10,10,0,0,34,0,24,0,10,0,0,0,0,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:42:00,0
10,10,10,10,0,0,33,0,24,0,9,0,0,0,0,0,0,33,9,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:44:00,0
11,13,11,11,0,0,87,0,25,0,62,0,0,0,0,0,0,87,11,25,25,1,0,1,0,0,0,2,2,2,2023-11-30 17:46:00,52
9,9,9,9,0,0,37,0,28,0,9,0,0,0,0,0,0,37,9,28,28,4,0,4,4,4,4,2,2,2,2023-11-30 17:48:00,0
11,19,11,11,0,0,35,0,25,0,10,0,0,1,1,0,0,35,10,25,25,1,0,0,0,0,0,2,2,2,2023-11-30 17:50:00,5
11,15,11,11,0,0,34,0,24,0,10,0,0,1,1,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:52:00,2
24,24,24,24,0,0,45,0,25,0,20,0,0,4,1,0,0,45,20,25,25,1,0,1,1,1,1,2,2,2,2023-11-30 17:54:00,18
14,16,14,14,0,0,37,0,24,0,13,0,0,1,1,0,0,37,13,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:56:00,2
8,8,8,8,0,0,32,0,24,0,8,0,0,0,0,0,0,32,8,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 17:58:00,1
15,17,15,15,0,0,39,0,24,0,15,0,0,0,0,0,0,39,15,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:00:00,0
6,6,6,6,0,0,29,0,24,0,5,0,0,1,0,0,0,29,5,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:02:00,4
12,13,12,12,0,0,36,0,24,0,12,0,0,0,0,0,0,36,12,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:04:00,5
7,9,7,7,0,0,31,0,24,0,7,0,0,0,0,0,0,31,7,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:06:00,4
5,5,5,5,0,0,29,0,24,0,5,0,0,0,0,0,0,29,5,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:08:00,0
11,13,11,11,0,0,35,0,24,0,11,0,0,0,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:10:00,4
