parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,msg,no need compute team member perm,Response=<:MAP:>,message,approve callback start,svc.ApproveCallback failed,approve status error,superiorAndDeputy empty,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,strconv.ParseIn<:updateFanweiEmployee failed:>,getBackupEm<:updateFanweiEmployee failed:>,callback status error,timestamp,unknown
5274,5274,5274,5274,2029,24,277,24,147,2029,130,24,128,121,118,24,24,277,130,29,29,0,24,4,3,3,3,3,6,2,2,2,7,7,0,2023-12-20 15:00:00,3
5220,5221,5220,5220,2004,24,263,24,151,2004,112,24,133,124,118,24,24,263,112,30,30,0,24,6,6,6,6,6,12,2,2,2,9,9,0,2023-12-20 15:02:00,16
5227,5227,5227,5227,2007,22,282,22,143,2007,139,22,130,121,117,22,22,282,139,27,27,0,22,3,3,3,3,3,8,2,2,2,9,9,0,2023-12-20 15:04:00,0
5267,5265,5265,5265,2027,24,268,24,144,2027,124,24,128,120,118,24,24,268,124,27,27,0,24,3,3,3,3,3,4,2,2,2,8,8,0,2023-12-20 15:06:00,0
5254,5256,5256,5256,2031,24,255,24,146,2031,109,24,128,120,119,24,24,255,109,28,28,0,24,4,4,4,4,3,2,2,2,2,8,8,1,2023-12-20 15:08:00,0
5260,5260,5260,5260,2036,24,254,24,148,2036,106,24,126,122,119,24,24,254,106,30,30,0,24,6,6,6,6,5,6,2,2,2,4,4,1,2023-12-20 15:10:00,0
5237,5236,5236,5236,2022,24,253,24,144,2022,109,24,128,120,118,24,24,253,109,27,27,0,24,3,3,3,3,3,4,2,2,2,8,8,0,2023-12-20 15:12:00,0
5231,5230,5230,5230,2022,24,247,24,144,2022,103,24,130,123,119,24,24,247,103,27,27,0,24,3,3,3,3,3,8,2,2,2,7,7,0,2023-12-20 15:14:00,0
5283,5284,5284,5284,2027,24,287,24,148,2027,139,24,133,120,117,24,24,287,139,30,30,0,24,6,6,6,6,6,6,2,2,2,13,13,0,2023-12-20 15:16:00,0
5247,5248,5248,5248,2007,24,283,24,143,2007,140,24,129,121,118,24,24,283,140,27,27,0,24,3,3,3,3,3,6,2,2,2,8,8,0,2023-12-20 15:18:00,0
5253,5294,5252,5252,2016,24,275,24,143,2016,132,24,127,121,118,24,24,275,132,27,27,2,24,3,3,3,3,3,6,2,2,2,6,6,0,2023-12-20 15:20:00,0
5235,5236,5236,5236,2006,24,275,24,144,2006,131,24,132,121,117,24,24,275,131,27,27,2,24,3,3,3,3,3,8,2,2,2,11,11,0,2023-12-20 15:22:00,0
5257,5257,5257,5257,2016,24,415,24,279,2016,136,24,129,123,118,24,24,415,136,162,162,10,24,72,6,6,6,6,10,2,2,2,6,6,0,2023-12-20 15:24:00,198
5182,5181,5182,5182,1992,22,255,22,142,1992,113,22,132,123,117,22,22,255,113,27,27,0,22,3,3,3,3,3,12,2,2,2,9,9,0,2023-12-20 15:26:00,0
5274,5275,5274,5274,2032,24,268,24,146,2032,122,24,129,120,118,24,24,268,122,28,28,0,24,4,4,4,4,2,4,2,2,2,9,9,2,2023-12-20 15:28:00,0
5274,5274,5274,5274,2018,24,289,24,147,2018,142,24,133,121,118,24,24,289,142,30,30,0,24,6,6,6,6,6,6,2,2,2,12,12,0,2023-12-20 15:30:00,0
5231,5230,5230,5230,2014,24,262,24,143,2014,119,24,127,122,117,24,24,262,119,27,27,0,24,3,3,3,3,3,10,2,2,2,5,5,0,2023-12-20 15:32:00,0
5261,5260,5260,5260,2024,24,274,24,144,2024,130,24,123,119,118,24,24,274,130,27,27,0,24,3,3,3,3,3,2,2,2,2,4,4,0,2023-12-20 15:34:00,0
5232,5233,5234,5234,2007,24,266,24,143,2007,123,24,133,124,118,24,24,266,123,27,27,0,24,3,3,3,3,3,12,2,2,2,9,9,0,2023-12-20 15:36:00,0
5268,5268,5268,5268,2028,24,268,24,148,2028,120,24,131,122,118,24,24,268,120,30,30,4,24,6,6,6,6,6,8,2,2,2,9,9,0,2023-12-20 15:38:00,0
5281,5280,5280,5280,2023,24,279,24,144,2023,135,24,138,128,118,24,24,279,135,27,27,0,24,3,3,3,3,3,20,2,2,2,10,10,0,2023-12-20 15:40:00,0
5203,5204,5204,5204,2003,24,316,24,203,2003,113,24,128,121,117,24,24,316,113,87,87,0,24,33,3,3,3,3,8,2,2,2,7,7,0,2023-12-20 15:42:00,90
5230,5228,5228,5228,2018,24,262,24,155,2018,107,24,132,123,118,24,24,262,107,38,38,0,24,10,6,6,6,6,10,2,2,2,9,9,0,2023-12-20 15:44:00,12
5264,5266,5266,5266,2027,24,394,24,269,2027,125,24,130,121,119,24,24,394,125,152,152,0,24,65,3,3,3,2,4,2,2,2,9,9,1,2023-12-20 15:46:00,188
5224,5223,5223,5223,1999,24,291,23,144,1999,147,23,131,122,116,23,23,291,147,28,28,0,23,4,4,4,4,3,12,2,2,2,9,9,1,2023-12-20 15:48:00,0
5278,5299,5279,5279,2032,22,276,23,145,2032,131,23,128,122,119,23,23,276,131,27,27,5,23,3,3,3,3,3,6,2,2,2,6,6,0,2023-12-20 15:50:00,0
5272,5272,5272,5272,2030,24,275,24,147,2030,128,24,130,122,118,24,24,275,128,30,30,5,24,6,6,6,6,6,8,2,2,2,8,8,0,2023-12-20 15:52:00,0
5264,5283,5263,5263,2029,24,263,24,144,2029,119,24,130,125,119,24,24,263,119,27,27,0,24,3,3,3,3,3,12,2,2,2,5,5,0,2023-12-20 15:54:00,0
5256,5256,5256,5256,2011,24,284,24,144,2011,140,24,132,119,117,24,24,284,140,27,27,0,24,3,3,3,3,3,4,2,2,2,13,13,0,2023-12-20 15:56:00,0
5250,5251,5251,5251,2015,24,277,24,144,2015,133,24,126,119,118,24,24,277,133,27,27,0,24,3,3,3,3,3,2,2,2,2,7,7,0,2023-12-20 15:58:00,2
5267,5267,5267,5267,2024,24,270,24,147,2024,123,24,132,122,118,24,24,270,123,30,30,0,24,6,6,6,6,6,8,2,2,2,10,10,0,2023-12-20 16:00:00,0
5231,5230,5230,5230,2006,24,271,24,144,2006,127,24,128,121,119,24,24,271,127,27,27,0,24,3,3,3,3,3,4,2,2,2,7,7,0,2023-12-20 16:02:00,0
5274,5275,5275,5275,2027,24,374,24,145,2027,229,24,132,120,119,24,24,374,229,28,28,0,24,4,4,4,4,3,2,2,2,2,12,12,1,2023-12-20 16:04:00,0
5237,5237,5237,5237,2019,24,257,24,147,2019,110,24,129,120,118,24,24,257,110,30,30,10,24,6,6,6,6,5,4,2,2,2,9,9,1,2023-12-20 16:06:00,0
5271,5271,5271,5271,2027,24,276,24,144,2027,132,24,126,120,118,24,24,276,132,27,27,0,24,3,3,3,3,3,4,2,2,2,6,6,0,2023-12-20 16:08:00,0
5221,5220,5220,5220,2020,24,246,24,145,2020,101,24,130,122,118,24,24,246,101,27,27,0,24,3,3,3,3,3,8,2,2,2,8,8,0,2023-12-20 16:10:00,0
5255,5256,5256,5256,2022,30,275,25,143,2023,132,25,123,120,117,25,24,275,132,27,27,0,24,3,3,3,3,3,6,2,2,2,3,3,0,2023-12-20 16:12:00,2
5256,5255,5255,5255,2032,22,255,22,148,2032,107,22,127,121,119,22,22,255,107,30,30,0,22,6,6,6,6,6,4,2,2,2,6,6,0,2023-12-20 16:14:00,0
5261,5261,5261,5261,2027,24,270,24,144,2027,126,24,128,121,120,24,24,270,126,27,27,0,24,3,3,3,3,3,2,2,2,2,7,7,0,2023-12-20 16:16:00,0
5245,5246,5246,5246,2011,24,273,24,144,2011,129,24,132,122,118,24,24,273,129,27,27,0,24,3,3,3,3,3,8,2,2,2,10,10,0,2023-12-20 16:18:00,0
5261,5259,5260,5260,2022,24,273,24,147,2022,126,24,127,121,118,24,24,273,126,30,30,0,24,6,6,6,6,6,6,2,2,2,6,6,0,2023-12-20 16:20:00,0
5235,5235,5234,5234,2020,24,259,24,144,2020,115,24,124,119,118,24,24,259,115,27,27,0,24,3,3,3,3,3,2,2,2,2,5,5,0,2023-12-20 16:22:00,0
5245,5246,5246,5246,2028,24,254,24,144,2028,110,24,125,122,118,24,24,254,110,27,27,0,24,3,3,3,3,2,8,2,2,2,3,3,1,2023-12-20 16:24:00,0
5255,5254,5255,5255,2018,24,278,24,145,2018,133,24,130,120,118,24,24,278,133,28,28,0,24,4,4,4,4,3,4,2,2,2,10,10,1,2023-12-20 16:26:00,0
5252,5254,5253,5253,2024,24,264,24,147,2024,117,24,131,124,118,24,24,264,117,30,30,0,24,6,6,6,6,6,12,2,2,2,7,7,0,2023-12-20 16:28:00,0
5263,5260,5260,5260,2034,24,252,24,145,2034,107,24,128,121,118,24,24,252,107,27,27,0,24,3,3,3,3,3,6,2,2,2,7,7,0,2023-12-20 16:30:00,0
5228,5230,5230,5230,2016,24,265,24,143,2016,122,24,130,121,118,24,24,265,122,27,27,18,24,3,3,3,3,3,6,2,2,2,9,9,0,2023-12-20 16:32:00,0
5183,5183,5183,5183,2033,24,194,24,145,2033,49,24,120,119,118,24,24,194,49,27,27,0,24,3,3,3,3,3,2,2,2,2,1,1,0,2023-12-20 16:34:00,0
5150,5150,5150,5150,2019,24,184,24,146,2019,38,24,120,119,118,24,24,184,38,30,30,0,24,6,6,6,6,6,2,2,2,2,1,1,0,2023-12-20 16:36:00,0
5191,5192,5192,5192,2028,24,202,24,145,2028,57,24,125,120,118,24,24,202,57,27,27,0,24,3,3,3,3,3,4,2,2,2,5,5,0,2023-12-20 16:38:00,0
5170,5168,5168,5168,2029,22,186,22,144,2029,42,22,122,120,118,22,22,186,42,27,27,0,22,3,3,3,3,3,4,2,2,2,2,2,0,2023-12-20 16:40:00,0
5140,5142,5141,5141,2016,24,184,24,147,2016,37,24,120,120,118,24,24,184,37,30,30,0,24,6,6,6,6,5,4,2,2,2,0,0,1,2023-12-20 16:42:00,0
5180,5181,5181,5181,2034,24,189,24,146,2034,43,24,121,119,118,24,24,189,43,28,28,4,24,4,4,4,4,3,2,2,2,2,2,2,1,2023-12-20 16:44:00,0
