get metadata from header,parseDataReportFlag ok,infra.grpc.invoker,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,funName=concurrentNoPaging run task end,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,funName=DataCompose,parent node is not exist,no need or no have tags,computeAndCompare same,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,allNum=<:NUM:>,ClientEnvHandler is <:*:>,<:GIN:>,protection for <:*:> have compare <:NUM:>,no page <:*:>,no page <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no <:*:>,superiorAndDeputy empty,msg,approve callback start,Response=<:MAP:>,message,approve status error,svc.ApproveCallback failed,<:ownDeptIDs:>,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,<:deptLeaderManageDeptIDs:>,Dao.GetSession,<:listManageOrgReq:>,<:query signature:>,GetSupervisorPosition success,[GetBaseInfoByEmpID] db ge<:updateFanweiEmployee failed:>,GetBaseInfoByEmpID failed,protection for <:*:> done,query ge<:updateFanweiEmployee failed:>,parent deptIDs=[<:SEQ:>],build <:*:> reply,no api page resources,check failed,protection.ComputeAndDiff failed,error occurred in <:NewAccessRequest:>,<:*:> started successfully,callback status error,sign switch is off [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:YID:>,[GetAuthorizedDept] getAllDept success,dept inChargeSuperiors is empty,checkCheckPer<:updateFanweiEmployee failed:>,s.getAuthObject objects=[dealer id customer id],checkAndBuildListPermDataReq failed,ListFieldValues failed,p.svc.GetSingleYidSingleFieldPermDat<:updateFanweiEmployee failed:>,<:tagID:>,token check failed,<:listReq:>,GrpcDataReportInterceptor parse methodSet: <:MAP:>,loadKdConfig success,len(deptYids)=<:NUM:>,len(allDeptMembers)=<:NUM:>,get other dutyCommittee backup employee success,timestamp
939,939,939,939,0,141,175,159,141,141,140,140,137,141,141,141,0,16,0,0,0,141,0,16,175,0,26,26,0,0,0,0,3,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:00:00
967,967,967,967,0,136,193,168,136,136,139,139,138,136,136,136,0,25,0,0,0,136,0,25,193,0,27,27,0,0,0,0,1,1,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:02:00
975,975,975,975,0,154,200,183,154,154,134,134,128,154,154,154,0,17,0,0,0,154,0,17,200,0,28,28,0,0,0,0,6,0,4,4,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:04:00
979,979,979,979,0,148,187,163,148,148,142,142,139,148,148,148,0,24,0,0,0,148,0,24,187,0,26,26,0,0,0,0,3,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:06:00
962,962,962,962,0,136,199,173,136,136,142,142,139,136,136,136,0,26,0,0,0,136,0,26,199,0,27,27,0,0,0,0,3,4,3,3,3,2,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:08:00
958,958,958,959,0,137,173,150,137,137,153,153,146,137,137,137,0,23,0,0,0,137,0,23,173,0,26,26,0,0,0,0,7,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:10:00
945,945,945,944,0,143,179,161,143,143,140,140,134,143,143,143,0,18,0,0,0,143,0,18,179,0,29,29,0,0,0,0,6,0,5,5,5,4,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:12:00
966,966,966,966,0,151,180,158,151,151,148,148,143,151,151,151,0,22,0,0,0,151,0,22,180,0,26,26,0,0,0,0,5,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:14:00
982,982,982,982,0,153,194,168,153,153,139,139,135,153,153,153,0,26,0,0,0,153,0,26,194,0,26,26,0,0,0,0,4,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:16:00
924,924,924,924,0,137,176,153,137,137,134,134,129,137,137,137,0,23,0,0,0,137,0,23,176,0,27,27,0,0,0,0,5,0,3,3,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-01 10:18:00
