request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,"CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1297,1297,96,101,51,25,25,25,25,25,25,25,0,2,0,12,12,0,0,0,2023-11-09 11:35:16,0
1273,1273,95,79,35,22,22,22,22,22,22,22,0,3,0,12,12,0,0,0,2023-11-09 11:37:16,0
1296,1296,139,348,37,236,237,236,67,67,67,66,212,45,50,12,12,36,5,2,2023-11-09 11:39:16,0
1296,1296,172,523,34,383,383,383,91,91,91,91,365,75,87,12,12,48,23,1,2023-11-09 11:41:16,9
1292,1292,494,661,332,217,216,217,106,106,106,107,138,33,34,12,12,21,3,4,2023-11-09 11:43:16,1
1263,1263,707,799,557,123,123,123,119,119,119,119,5,16,1,12,12,1,0,0,2023-11-09 11:45:16,0
1296,1296,807,912,654,128,128,128,128,128,128,128,0,17,0,12,12,0,0,0,2023-11-09 11:47:16,2
1296,1296,666,749,532,109,109,109,108,108,108,108,1,15,0,12,12,1,0,0,2023-11-09 11:49:16,0
1296,1296,641,741,478,139,139,139,122,122,122,122,21,26,4,12,12,1,3,1,2023-11-09 11:51:16,0
1293,1293,715,797,564,121,121,121,113,113,113,113,10,14,2,12,12,1,0,1,2023-11-09 11:53:16,0
1271,1271,280,282,203,35,35,35,35,35,35,35,0,2,8,12,12,0,0,0,2023-11-09 11:55:16,16
1295,1295,81,83,37,23,23,23,23,23,23,23,0,0,0,12,12,0,0,0,2023-11-09 11:57:16,0
1296,1296,98,191,29,113,116,113,45,45,45,42,88,23,21,12,12,13,2,3,2023-11-09 11:59:16,0
1296,1296,169,519,38,371,369,371,96,96,96,98,342,70,82,12,12,51,17,0,2023-11-09 12:01:16,0
1294,1294,221,494,115,292,291,292,79,79,79,80,265,54,60,12,12,41,8,4,2023-11-09 12:03:16,0
1272,1272,673,749,523,117,117,117,109,109,109,109,10,13,2,12,12,0,2,0,2023-11-09 12:05:16,0
1296,1296,691,774,564,103,103,103,103,103,103,103,0,12,4,12,12,0,0,0,2023-11-09 12:07:16,8
1296,1296,751,851,613,119,119,119,119,119,119,119,0,14,0,12,12,0,0,0,2023-11-09 12:09:16,0
1291,1291,702,779,590,95,95,95,94,94,94,94,1,19,0,12,12,1,0,0,2023-11-09 12:11:16,0
1297,1297,677,766,548,108,109,108,109,109,109,108,0,17,0,12,12,0,0,0,2023-11-09 12:13:16,0
1269,1269,368,418,287,66,65,66,65,65,65,66,0,8,0,12,12,0,0,0,2023-11-09 12:15:16,0
1296,1296,51,38,10,14,14,14,14,14,14,14,0,1,0,12,12,0,0,0,2023-11-09 12:17:16,0
