request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>，cardNo:<:NUM:> <:resp:>,timestamp,unknown
1302,1302,391,441,300,71,71,71,71,71,71,71,0,12,0,12,12,0,0,0,2023-11-13 09:54:48,0
1294,1294,258,288,192,48,48,48,48,48,48,48,0,6,0,12,12,0,0,0,2023-11-13 09:55:16,0
1294,1294,61,46,16,15,15,15,15,15,15,15,0,3,0,12,12,0,0,0,2023-11-13 09:56:48,0
1296,1296,68,55,21,17,17,17,17,17,17,17,0,3,0,12,12,0,0,0,2023-11-13 09:57:16,0
1259,1259,63,70,28,21,21,21,21,21,21,21,0,1,0,12,12,0,0,0,2023-11-13 09:58:48,0
1265,1265,80,143,33,77,76,75,33,33,33,32,54,13,12,12,12,9,2,0,2023-11-13 09:59:16,6
1295,1295,362,709,199,369,368,367,129,129,129,128,299,67,73,12,12,50,8,2,2023-11-13 10:00:48,6
1295,1295,377,744,196,396,396,396,135,135,135,135,326,72,80,12,12,51,12,2,2023-11-13 10:01:16,0
1295,1295,161,474,39,340,340,340,83,83,83,83,321,67,74,12,12,50,13,1,2023-11-13 10:02:48,1
1295,1295,165,485,49,343,344,344,84,84,84,85,324,68,73,12,12,51,10,4,2023-11-13 10:03:16,1
1304,1304,546,701,414,178,179,179,107,107,107,108,89,33,19,12,12,12,3,3,2023-11-13 10:04:48,0
1295,1295,668,760,548,108,108,108,104,104,104,104,5,17,1,12,12,1,0,0,2023-11-13 10:05:16,0
1256,1256,629,705,513,96,96,96,96,96,96,96,0,10,0,12,12,0,0,0,2023-11-13 10:06:48,0
1265,1265,606,686,478,104,104,104,104,104,104,104,0,10,0,12,12,0,0,0,2023-11-13 10:07:16,0
1296,1296,694,778,562,108,108,108,108,108,108,108,0,13,0,12,12,0,0,0,2023-11-13 10:08:48,0
1292,1292,674,754,552,103,103,103,99,99,99,99,5,13,1,12,12,0,1,0,2023-11-13 10:09:16,0
1294,1294,621,699,491,110,110,110,98,98,98,98,15,17,3,12,12,0,3,0,2023-11-13 10:10:48,0
1293,1293,634,706,504,105,105,105,97,97,97,97,10,19,2,12,12,0,2,0,2023-11-13 10:11:16,0
1295,1295,436,486,346,69,69,69,69,69,69,69,0,11,0,12,12,0,0,0,2023-11-13 10:12:48,0
1288,1288,318,350,240,54,54,54,54,54,54,54,0,8,0,12,12,0,0,0,2023-11-13 10:13:16,0
1300,1300,75,79,27,26,26,26,26,26,26,26,0,3,0,12,12,0,0,0,2023-11-13 10:14:48,0
1259,1259,63,69,23,23,23,23,23,23,23,23,0,2,0,12,12,0,0,0,2023-11-13 10:15:16,0
1257,1257,105,126,45,46,46,46,34,34,34,34,15,7,3,12,12,1,2,0,2023-11-13 10:16:48,0
1299,1299,110,150,43,65,64,64,42,42,42,41,28,11,5,12,12,3,3,0,2023-11-13 10:17:16,0
1296,1296,140,416,36,290,289,289,79,79,79,78,263,55,63,12,12,43,8,2,2023-11-13 10:18:48,1
1302,1302,214,597,62,395,395,395,124,124,124,124,339,72,83,12,12,52,13,2,2023-11-13 10:19:16,1
1290,1290,221,597,63,397,397,397,126,126,126,126,339,75,79,12,12,50,17,1,2023-11-13 10:20:48,0
1295,1295,158,477,31,349,349,349,89,89,89,89,325,68,73,12,12,49,12,4,2023-11-13 10:21:16,0
1297,1297,455,615,332,180,181,181,94,94,94,95,108,26,28,12,12,16,2,3,2023-11-13 10:22:48,8
1294,1294,558,660,431,123,124,124,97,97,97,98,33,16,12,12,12,6,1,0,2023-11-13 10:23:16,8
1274,1274,613,678,487,95,95,95,95,95,95,95,0,16,0,12,12,0,0,0,2023-11-13 10:24:48,0
1271,1271,612,686,492,97,97,97,97,97,97,97,0,17,0,12,12,0,0,0,2023-11-13 10:25:16,0
1294,1294,645,742,526,114,114,114,98,98,98,98,20,20,6,12,12,0,2,2,2023-11-13 10:26:48,4
1296,1296,682,781,556,119,119,119,102,102,102,102,21,23,6,12,12,1,2,2,2023-11-13 10:27:16,4
1291,1291,594,665,455,108,107,107,103,103,103,102,6,15,1,12,12,1,1,0,2023-11-13 10:28:48,0
1296,1296,573,631,435,100,100,100,96,96,96,96,5,11,1,12,12,0,1,0,2023-11-13 10:29:16,0
1295,1295,586,638,441,100,101,101,96,96,96,97,5,10,1,12,12,0,1,0,2023-11-13 10:30:48,0
1295,1295,562,617,420,101,100,100,97,97,97,96,5,7,1,12,12,0,1,0,2023-11-13 10:31:16,0
1295,1295,390,426,272,75,75,75,75,75,75,75,0,6,4,12,12,0,0,0,2023-11-13 10:32:48,8
1295,1295,299,311,186,60,61,61,60,60,60,61,0,5,4,12,12,0,0,0,2023-11-13 10:33:16,8
1270,1270,104,80,32,23,23,23,23,23,23,23,0,0,0,12,12,0,0,0,2023-11-13 10:34:48,0
1264,1264,100,91,41,24,24,24,24,24,24,24,0,2,0,12,12,0,0,0,2023-11-13 10:35:16,0
1296,1296,127,134,79,28,27,27,28,28,28,27,0,6,0,12,12,0,0,0,2023-11-13 10:36:48,0
1296,1296,134,173,77,61,60,60,35,35,35,34,32,11,7,12,12,5,2,0,2023-11-13 10:37:16,0
1289,1289,195,464,68,300,300,299,84,84,84,84,268,54,65,12,12,45,7,2,2023-11-13 10:38:48,8
1294,1294,291,627,148,362,362,361,103,103,103,103,323,65,79,12,12,50,11,3,2023-11-13 10:39:16,8
1304,1304,560,940,389,401,400,400,141,141,141,140,325,73,75,12,12,49,14,2,2023-11-13 10:40:48,0
1291,1291,496,842,321,381,380,380,132,132,132,131,311,71,71,12,12,48,10,4,2023-11-13 10:41:16,0
