rego exec input:<:MAP:>,parseDataReportFlag ok,get metadata from header,parse metadata,infra.grpc.invoker,<:staticStrategies:>,computeOwnObjectIDs <:*:>,computeDeptMembersObjectIDs <:*:>,<:REQ:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,no <:*:> <:*:> <:*:> <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,<:list modules:>,loaded policy count:<:NUM:>,getPermTagsAndValues <:*:>,loadRegoMySQLInterval success,getDept success,getBackupEmp success,DeleteFieldValues <:REQ:>,Depts only have yunzhanghu,no <:*:>,timestamp,unknown
130,5133,5133,5132,5133,24,24,24,2032,130,12,12,24,130,1,1,24,1,118,118,2032,118,24,2023-10-13 16:00:00,15
129,5116,5116,5116,5116,24,24,24,2022,129,12,12,24,129,1,1,24,1,119,119,2022,119,24,2023-10-13 16:01:00,1
130,5119,5119,5122,5119,24,24,24,2025,130,12,12,24,130,1,1,24,1,119,119,2025,119,24,2023-10-13 16:02:00,0
130,5132,5132,5130,5132,24,24,24,2037,130,12,12,24,130,1,1,24,1,118,118,2037,118,24,2023-10-13 16:03:00,0
130,5137,5137,5137,5137,24,24,24,2033,130,12,12,24,130,1,1,24,1,118,118,2033,118,24,2023-10-13 16:04:00,14
130,5129,5129,5128,5129,22,22,22,2031,130,12,12,22,130,1,1,22,1,118,118,2031,118,22,2023-10-13 16:05:00,0
130,5140,5140,5140,5140,24,24,24,2036,130,12,12,24,130,1,1,24,1,119,119,2036,119,24,2023-10-13 16:06:00,0
128,5144,5144,5146,5144,24,24,24,2043,128,12,12,24,128,1,1,24,1,119,119,2043,119,24,2023-10-13 16:07:00,0
130,5150,5150,5151,5150,24,24,24,2045,130,12,12,24,130,1,1,24,1,118,118,2045,118,24,2023-10-13 16:08:00,0
130,5141,5141,5139,5141,24,24,24,2033,130,12,12,24,130,1,1,24,1,118,118,2033,118,24,2023-10-13 16:09:00,0
130,5133,5133,5132,5133,24,24,24,2030,130,12,12,24,130,1,1,24,1,120,120,2030,120,24,2023-10-13 16:10:00,0
130,5137,5137,5138,5137,24,24,24,2033,130,12,12,24,130,1,1,24,1,118,118,2033,118,24,2023-10-13 16:11:00,0
128,5044,5044,5043,5044,24,24,24,1996,128,12,12,24,128,1,1,24,1,116,116,1996,116,24,2023-10-13 16:12:00,0
130,5131,5131,5132,5131,24,24,24,2033,130,12,12,24,130,1,1,24,1,118,118,2033,118,24,2023-10-13 16:13:00,0
130,5159,5159,5160,5159,24,24,24,2048,130,12,12,24,130,1,1,24,1,120,120,2048,120,24,2023-10-13 16:14:00,0
128,5136,5136,5135,5136,24,24,24,2035,128,12,12,24,128,1,1,24,1,118,118,2035,118,24,2023-10-13 16:15:00,0
130,5146,5146,5146,5146,24,24,24,2040,130,12,12,24,130,1,1,24,1,118,118,2040,118,24,2023-10-13 16:16:00,1
130,5129,5129,5128,5128,22,22,22,2029,130,12,12,22,130,1,1,22,1,118,118,2029,118,22,2023-10-13 16:17:00,0
130,5155,5155,5155,5155,24,24,24,2042,130,12,12,24,130,1,1,24,1,120,120,2042,120,24,2023-10-13 16:18:00,0
130,5137,5137,5138,5137,24,24,24,2039,130,12,12,24,130,1,1,24,1,118,118,2039,118,24,2023-10-13 16:19:00,0
130,5147,5147,5146,5147,24,24,24,2039,130,12,12,24,130,1,1,24,1,118,118,2039,118,24,2023-10-13 16:20:00,0
130,5131,5131,5131,5131,24,24,24,2033,130,12,12,24,130,1,1,24,1,118,118,2033,118,24,2023-10-13 16:21:00,0
128,5137,5137,5139,5137,24,24,24,2039,128,12,12,24,128,1,1,24,1,120,120,2039,120,24,2023-10-13 16:22:00,0
130,5139,5139,5138,5139,24,24,24,2037,130,12,12,24,130,1,1,24,1,118,118,2037,118,24,2023-10-13 16:23:00,0
130,5149,5149,5148,5149,24,24,24,2043,130,12,12,24,130,1,1,24,1,118,118,2043,118,24,2023-10-13 16:24:00,0
130,5148,5148,5148,5148,24,24,24,2042,130,12,12,24,130,1,1,24,1,118,118,2042,118,24,2023-10-13 16:25:00,0
130,5139,5139,5140,5139,24,24,24,2034,130,12,12,24,130,1,1,24,1,120,120,2034,120,24,2023-10-13 16:26:00,0
130,5134,5134,5133,5134,24,24,24,2030,130,12,12,24,130,1,1,24,1,118,118,2030,118,24,2023-10-13 16:27:00,0
130,5151,5151,5151,5151,24,24,24,2041,130,12,12,24,130,1,1,24,1,118,118,2041,118,24,2023-10-13 16:28:00,0
130,5154,5154,5154,5154,24,24,24,2046,130,12,12,24,130,1,1,24,1,118,118,2046,118,24,2023-10-13 16:29:00,3
130,5148,5148,5148,5150,24,24,24,2044,130,12,12,24,130,1,1,24,1,120,120,2044,120,24,2023-10-13 16:30:00,0
128,5138,5138,5140,5138,24,24,24,2041,128,12,12,24,128,1,1,24,1,118,118,2041,118,24,2023-10-13 16:31:00,0
130,5140,5140,5139,5140,24,24,24,2036,130,12,12,24,130,1,1,24,1,118,118,2036,118,24,2023-10-13 16:32:00,0
130,5131,5131,5131,5131,24,24,24,2032,130,12,12,24,130,1,1,24,1,118,118,2032,118,24,2023-10-13 16:33:00,0
130,5132,5132,5131,5132,24,24,24,2031,130,12,12,24,130,1,1,24,1,120,120,2031,120,24,2023-10-13 16:34:00,0
130,5125,5125,5126,5125,24,24,24,2028,130,12,12,24,130,1,1,24,1,118,118,2028,118,24,2023-10-13 16:35:00,0
130,5142,5142,5142,5142,24,24,24,2040,130,12,12,24,130,1,1,24,1,118,118,2040,118,24,2023-10-13 16:36:00,0
130,5138,5138,5137,5138,24,24,24,2038,130,12,12,24,130,1,1,24,1,118,118,2038,118,24,2023-10-13 16:37:00,0
125,5046,5046,5049,5046,22,22,22,1998,125,11,11,22,125,1,1,22,1,118,118,1998,118,22,2023-10-13 16:38:00,0
130,5134,5134,5132,5134,24,24,24,2034,130,12,12,24,130,1,1,24,1,118,118,2034,118,24,2023-10-13 16:39:00,0
130,5141,5141,5140,5143,24,24,24,2038,130,12,12,24,130,1,1,24,1,118,118,2038,118,24,2023-10-13 16:40:00,0
130,5118,5118,5118,5119,24,24,24,2026,130,12,12,24,130,1,1,24,1,118,118,2026,118,24,2023-10-13 16:41:00,0
130,5138,5138,5138,5138,24,24,24,2035,130,12,12,24,130,1,1,24,1,120,120,2035,120,24,2023-10-13 16:42:00,0
130,5128,5128,5128,5128,24,24,24,2034,130,12,12,24,130,1,1,24,1,118,118,2034,118,24,2023-10-13 16:43:00,0
128,5142,5142,5142,5142,24,24,24,2039,128,12,12,24,128,1,1,24,1,118,118,2039,118,24,2023-10-13 16:44:00,0
130,5130,5130,5131,5130,24,24,24,2034,130,12,12,24,130,1,1,24,1,118,118,2034,118,24,2023-10-13 16:45:00,0
131,5126,5126,5126,5128,24,24,24,2029,130,12,12,24,131,1,1,24,1,118,118,2029,118,24,2023-10-13 16:46:00,3
