get metadata from header,parseDataReportFlag ok,infra.grpc.invoker,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,<:REQ:>,no need or no have tags,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,superiorAndDeputy empty,approve callback start,Response=<:MAP:>,message,approve status error,svc.ApproveCallback failed,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
871,871,871,871,0,126,177,138,126,126,149,149,138,126,126,126,39,0,126,39,177,27,27,11,3,3,3,3,3,2,2,2,2023-11-10 14:30:00,8
864,864,864,866,0,130,290,146,130,130,141,141,119,129,129,130,144,0,129,144,290,33,33,22,7,8,7,7,7,2,2,2,2023-11-10 14:32:00,3
870,870,870,868,0,136,201,150,136,136,122,122,118,137,137,136,51,0,137,51,201,27,27,4,3,3,3,3,3,2,2,2,2023-11-10 14:34:00,0
2201,2201,2201,2203,582,109,248,188,109,109,144,144,133,109,108,110,60,582,109,60,248,54,54,11,4,17,4,3,4,2,2,2,2023-11-10 14:36:00,40
5539,5539,5539,5538,2008,106,255,215,106,106,188,188,175,106,107,105,40,2008,106,40,255,41,41,13,3,10,3,3,3,2,2,2,2023-11-10 14:38:00,21
5638,5638,5639,5637,2031,86,270,216,86,86,201,201,189,86,86,86,54,2031,86,54,270,31,31,12,7,7,7,6,7,2,2,2,2023-11-10 14:40:00,8
5638,5638,5638,5639,2033,100,267,213,100,100,193,193,181,100,100,100,54,2033,100,54,267,27,27,12,3,3,3,3,3,2,2,2,2023-11-10 14:42:00,2
5615,5615,5615,5614,2031,93,282,217,93,93,190,190,179,93,93,93,65,2031,93,65,282,38,38,11,4,4,4,4,4,2,2,2,2023-11-10 14:44:00,23
5621,5621,5621,5621,2035,82,268,208,82,82,192,192,175,82,82,82,60,2035,82,60,268,29,29,17,3,4,3,3,3,2,2,2,2023-11-10 14:46:00,4
5642,5642,5642,5642,2046,100,364,208,100,100,181,181,171,100,100,100,156,2046,100,156,364,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 14:48:00,0
5574,5574,5574,5576,2023,89,256,209,89,89,180,180,172,89,89,89,47,2023,89,47,256,31,31,8,7,7,7,7,7,2,2,2,2023-11-10 14:50:00,2
5574,5574,5574,5573,2016,95,364,208,95,95,181,181,171,95,95,96,156,2016,95,156,364,27,27,10,3,3,3,3,3,2,2,2,2023-11-10 14:52:00,0
5607,5607,5607,5606,2027,94,273,222,94,94,181,181,167,94,94,93,51,2027,94,51,273,38,38,13,4,4,4,3,4,2,2,2,2023-11-10 14:54:00,22
5513,5513,5513,5514,2017,87,245,200,87,87,166,166,161,87,87,87,45,2017,87,45,245,27,27,4,3,3,3,3,3,2,2,2,2023-11-10 14:56:00,3
5608,5608,5608,5607,2032,93,273,220,93,93,185,185,171,93,93,93,53,2032,93,53,273,41,41,14,7,7,7,6,7,2,2,2,2023-11-10 14:58:00,29
5595,5595,5595,5595,2030,87,260,211,87,87,187,187,177,87,87,87,49,2030,87,49,260,29,29,10,3,4,3,3,3,2,2,2,2023-11-10 15:00:00,7
5595,5595,5595,5597,2019,98,263,202,98,98,183,183,176,98,98,98,61,2019,98,61,263,28,28,6,4,4,4,4,4,2,2,2,2023-11-10 15:02:00,1
5608,5608,5608,5606,2025,101,263,210,101,101,187,187,179,101,101,101,53,2025,101,53,263,27,27,8,3,3,3,3,3,2,2,2,2023-11-10 15:04:00,0
5570,5570,5570,5570,2028,96,239,205,96,96,171,171,163,96,96,96,34,2028,96,34,239,31,31,8,7,7,7,7,7,2,2,2,2023-11-10 15:06:00,0
