parseDataReportFlag ok,infra.grpc.invoker,get metadata from header,parse metadata,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,getPermTagsAndValues success,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,superiorAndDeputy empty,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown
5601,5601,5601,5600,2034,91,234,87,87,230,87,183,183,183,2034,5,85,85,87,234,4,34,34,10,0,10,4,4,4,2,2,2,0,2023-11-16 10:10:00,22
5627,5627,5627,5627,2034,98,213,98,98,213,98,185,185,185,2034,0,98,98,98,213,0,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 10:12:00,0
5602,5602,5602,5603,2032,91,222,91,91,222,91,183,183,183,2032,0,91,91,91,222,0,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 10:14:00,0
5592,5592,5592,5591,2038,89,209,89,89,207,89,185,185,185,2038,2,89,89,89,209,2,28,28,4,0,4,4,4,3,2,2,2,0,2023-11-16 10:16:00,1
5542,5542,5542,5543,2018,87,215,87,87,214,87,189,189,189,2018,1,87,87,87,215,1,30,30,6,0,6,6,6,6,2,2,2,0,2023-11-16 10:18:00,0
5591,5591,5591,5591,2032,97,213,97,97,212,97,195,195,194,2032,1,97,97,97,213,1,28,28,4,1,4,4,4,3,2,2,2,0,2023-11-16 10:20:00,1
5613,5613,5613,5613,2035,99,212,98,98,208,98,193,193,193,2035,4,98,99,98,212,4,27,27,3,0,3,3,3,3,2,2,2,0,2023-11-16 10:22:00,0
5569,5569,5569,5569,2038,77,262,78,78,210,78,185,185,184,2038,52,78,77,78,262,1,28,28,4,1,4,3,3,3,2,2,2,0,2023-11-16 10:24:00,52
5622,5622,5622,5622,2037,88,222,88,88,220,88,190,190,190,2037,2,88,89,88,222,2,27,27,3,0,3,3,3,2,2,2,2,0,2023-11-16 10:26:00,1
5585,5585,5585,5584,2036,90,228,90,90,224,90,185,185,185,2036,4,90,89,90,228,4,28,28,4,0,4,4,4,4,2,2,2,0,2023-11-16 10:28:00,0
