parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} [1m]) * 100",target_metric
2181,2179,2179,2179,0,96,351,96,96,203,148,96,0,116,116,112,96,96,96,351,27,27,148,3,3,3,3,3,3,2,2,2,2023-11-22 11:00:00,408,1700641800,254.63671875,4089093.6,3759362.4,4089093.6,19.05900604000231,23.0163730933297,1
2096,2102,2097,2097,0,92,236,92,92,206,30,92,0,113,113,110,92,92,92,236,26,26,30,2,2,3,2,2,2,2,2,2,2023-11-22 11:02:00,419,1700641920,252.6484375,5155340.266666667,4632330.133333334,5155340.266666667,15.458386388887046,27.12418246999732,1
2119,2133,2133,2133,7,88,254,88,88,207,47,88,7,120,120,118,88,88,88,254,29,29,47,5,5,1,5,5,5,2,2,2,2023-11-22 11:04:00,435,1700642040,249.59375,3518618.1333333333,3416648.0,3518618.1333333333,14.832671024446931,29.732072513324965,1
2169,2158,2158,2158,0,94,250,94,94,210,40,94,0,124,124,121,94,94,94,250,26,26,40,2,2,2,2,2,2,2,2,2,2023-11-22 11:06:00,426,1700642160,261.2109375,3946323.466666667,3693952.8,3946323.466666667,13.929334128891544,21.49731686999682,1
2136,2132,2132,2132,0,102,254,102,102,209,45,102,0,112,112,111,102,102,102,254,26,26,45,2,2,1,2,2,2,2,2,2,2023-11-22 11:08:00,400,1700642280,262.35546875,5083649.431609827,4511347.134713471,5083649.431609827,7.949763783046142,13.848373297332687,1
2122,2126,2126,2126,0,93,245,93,93,200,45,93,0,109,109,108,93,93,93,245,27,27,45,3,3,1,3,3,2,2,2,2,2023-11-22 11:10:00,400,1700642400,251.328125,4066476.533333333,3721813.333333334,4066476.533333333,13.81112282221794,25.59265779667233,1
2099,2098,2098,2098,0,84,252,84,84,202,50,84,0,114,114,111,84,84,84,252,29,29,49,5,5,3,4,4,4,2,2,2,2023-11-22 11:12:00,401,1700642520,263.30078125,6725330.666666668,5944928.0,6725330.666666668,9.37882409333219,15.932668390002314,1
2130,2138,2138,2138,7,96,259,96,96,213,46,96,7,117,117,115,96,96,96,259,26,26,46,2,2,2,2,2,2,2,2,2,2023-11-22 11:14:00,419,1700642640,256.74609375,4790046.139485265,4473655.954127217,4790046.139485265,14.893570813885038,29.255655227364898,1
2159,2155,2155,2155,0,106,246,106,106,211,35,106,0,123,123,122,106,106,106,246,27,27,35,3,3,1,3,3,2,2,2,2,2023-11-22 11:16:00,436,1700642760,250.078125,4283273.6,3795429.6,4283273.6,23.046174940003162,28.868279193338818,1
2087,2082,2082,2082,0,78,238,78,78,198,40,78,0,114,114,112,78,78,78,238,26,26,40,2,2,2,2,2,2,2,2,2,2023-11-22 11:18:00,407,1700642880,250.48828125,4828145.066666666,4312960.8,4828145.066666666,20.235597791114646,22.194056566671254,1
