parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown
2181,2179,2179,2179,0,96,351,96,96,203,148,96,0,116,116,112,96,96,96,351,27,27,148,3,3,3,3,3,3,2,2,2,2023-11-22 11:00:00,408
2096,2102,2097,2097,0,92,236,92,92,206,30,92,0,113,113,110,92,92,92,236,26,26,30,2,2,3,2,2,2,2,2,2,2023-11-22 11:02:00,419
2119,2133,2133,2133,7,88,254,88,88,207,47,88,7,120,120,118,88,88,88,254,29,29,47,5,5,1,5,5,5,2,2,2,2023-11-22 11:04:00,435
2169,2158,2158,2158,0,94,250,94,94,210,40,94,0,124,124,121,94,94,94,250,26,26,40,2,2,2,2,2,2,2,2,2,2023-11-22 11:06:00,426
2136,2132,2132,2132,0,102,254,102,102,209,45,102,0,112,112,111,102,102,102,254,26,26,45,2,2,1,2,2,2,2,2,2,2023-11-22 11:08:00,400
2122,2126,2126,2126,0,93,245,93,93,200,45,93,0,109,109,108,93,93,93,245,27,27,45,3,3,1,3,3,2,2,2,2,2023-11-22 11:10:00,400
2099,2098,2098,2098,0,84,252,84,84,202,50,84,0,114,114,111,84,84,84,252,29,29,49,5,5,3,4,4,4,2,2,2,2023-11-22 11:12:00,401
2130,2138,2138,2138,7,96,259,96,96,213,46,96,7,117,117,115,96,96,96,259,26,26,46,2,2,2,2,2,2,2,2,2,2023-11-22 11:14:00,419
2159,2155,2155,2155,0,106,246,106,106,211,35,106,0,123,123,122,106,106,106,246,27,27,35,3,3,1,3,3,2,2,2,2,2023-11-22 11:16:00,436
2087,2082,2082,2082,0,78,238,78,78,198,40,78,0,114,114,112,78,78,78,238,26,26,40,2,2,2,2,2,2,2,2,2,2023-11-22 11:18:00,407
2125,2124,2124,2124,0,92,252,92,92,217,35,92,0,117,117,111,92,92,92,252,29,29,35,5,5,5,5,5,5,2,2,2,2023-11-22 11:20:00,401
2125,2129,2129,2129,0,93,241,93,93,206,35,93,0,116,116,112,93,93,93,241,26,26,35,2,2,3,2,2,2,2,2,2,2023-11-22 11:22:00,405
2133,2139,2139,2139,7,87,245,87,87,207,38,87,7,117,117,116,87,87,87,245,26,26,38,2,2,0,2,2,2,2,2,2,2023-11-22 11:24:00,419
2182,2178,2178,2178,0,93,256,93,93,215,41,93,0,128,128,125,93,93,93,256,29,29,41,5,5,3,5,5,5,2,2,2,2023-11-22 11:26:00,439
2053,2045,2045,2045,0,82,221,82,82,190,31,82,0,111,111,111,82,82,82,221,26,26,31,2,2,0,2,2,2,2,2,2,2023-11-22 11:28:00,406
2106,2108,2108,2108,0,93,244,93,93,207,37,93,0,113,113,111,93,93,93,244,27,27,37,3,3,1,3,3,3,2,2,2,2023-11-22 11:30:00,405
2106,2107,2107,2107,0,90,242,90,90,198,44,90,0,111,111,110,90,90,90,242,26,26,44,2,2,1,2,2,2,2,2,2,2023-11-22 11:32:00,401
2037,2034,2034,2034,7,93,242,93,93,196,46,93,7,106,106,105,93,93,93,242,28,28,46,4,4,1,4,4,4,2,2,2,2023-11-22 11:34:00,391
2051,2069,2069,2069,0,92,229,92,92,189,40,92,0,118,118,117,92,92,92,229,27,27,40,3,3,1,3,3,2,2,2,2,2023-11-22 11:36:00,425
2032,2022,2022,2022,0,93,238,93,93,191,47,93,0,115,115,112,93,93,93,238,26,26,47,2,2,3,2,2,2,2,2,2,2023-11-22 11:38:00,392
2115,2112,2112,2112,0,95,241,95,95,206,35,95,0,112,112,110,95,95,95,241,27,27,35,3,3,2,3,3,2,2,2,2,2023-11-22 11:40:00,399
2071,2067,2067,2067,0,92,237,92,92,198,39,92,0,109,109,108,92,92,92,237,28,28,39,4,4,1,4,4,4,2,2,2,2023-11-22 11:42:00,394
2127,2130,2130,2130,7,93,252,93,93,196,56,93,7,112,112,111,93,93,93,252,26,26,56,2,2,1,2,2,2,2,2,2,2023-11-22 11:44:00,411
2149,2159,2159,2159,0,94,245,94,94,205,40,94,0,120,120,119,94,94,94,245,27,27,40,3,3,1,3,3,3,2,2,2,2023-11-22 11:46:00,430
2102,2092,2092,2092,0,91,249,91,91,199,50,91,0,120,120,117,91,91,91,249,28,28,50,4,4,3,4,4,4,2,2,2,2023-11-22 11:48:00,415
2123,2123,2123,2123,0,102,246,102,102,202,44,102,0,115,115,114,102,102,102,246,27,27,44,3,3,1,3,3,3,2,2,2,2023-11-22 11:50:00,399
2085,2080,2080,2080,0,89,243,89,89,208,35,89,0,110,110,108,89,89,89,243,25,25,35,2,2,1,2,2,2,2,2,2,2023-11-22 11:52:00,397
2120,2122,2122,2122,7,90,234,90,90,203,31,90,7,112,112,111,90,90,90,234,26,26,31,2,2,1,2,2,2,2,2,2,2023-11-22 11:54:00,411
2129,2140,2140,2140,0,94,261,94,94,216,45,94,0,118,118,115,94,94,94,261,29,29,45,5,5,1,5,5,5,2,2,2,2023-11-22 11:56:00,419
2138,2131,2131,2131,0,98,233,98,98,192,41,98,0,121,121,120,98,98,98,233,26,26,41,2,2,1,2,2,2,2,2,2,2023-11-22 11:58:00,433
2127,2126,2126,2126,0,94,245,94,94,206,39,94,0,116,116,114,94,94,94,245,26,26,39,2,2,1,2,2,2,2,2,2,2023-11-22 12:00:00,412
1652,1673,1648,1648,0,1150,419,386,387,257,323,220,294,36,36,36,93,69,385,419,32,32,27,4,4,0,4,4,2,2,2,2,2023-11-22 12:02:00,2199
1982,1985,1985,1985,0,2549,1741,1319,1318,881,1713,634,1319,0,0,0,0,0,1268,1741,29,29,9,5,5,0,5,5,5,2,2,2,2023-11-22 12:04:00,4689
790,792,792,792,0,3411,372,1220,1221,192,346,417,1220,0,0,0,0,0,833,372,26,26,15,2,2,0,2,2,2,2,2,2,2023-11-22 12:06:00,3437
402,401,401,401,0,2627,49,751,750,26,23,265,751,0,0,0,0,0,531,49,26,26,23,2,2,0,2,2,2,2,2,2,2023-11-22 12:08:00,2878
171,172,172,172,0,393,43,295,295,27,16,148,295,2,2,0,0,0,295,43,27,27,16,3,3,2,3,3,2,2,2,2,2023-11-22 12:10:00,299
18,18,18,18,0,0,46,0,0,29,17,0,0,0,0,0,0,0,0,46,29,29,17,5,5,0,5,5,4,2,2,2,2023-11-22 12:12:00,3
25,25,25,25,0,0,50,0,0,26,24,0,0,1,1,1,0,0,0,50,26,26,24,2,2,0,2,2,2,2,2,2,2023-11-22 12:14:00,0
12,12,12,12,0,0,38,0,0,27,11,0,0,0,0,0,0,0,0,38,27,27,11,3,3,0,3,3,3,2,2,2,2023-11-22 12:16:00,2
