parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown
11200,11201,11201,11201,4069,183,404,183,183,396,8,183,4069,383,383,381,183,183,183,404,8,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-23 11:00:00,0
11170,11166,11169,11169,4066,192,396,192,192,382,14,192,4066,376,376,375,192,192,192,396,14,30,30,6,6,1,6,6,6,2,2,2,0,2023-11-23 11:02:00,0
11201,11200,11200,11200,4077,179,413,179,179,401,12,179,4077,363,363,362,179,179,179,413,12,29,29,4,3,1,3,3,3,2,2,2,0,2023-11-23 11:04:00,6
11253,11256,11256,11256,4079,196,418,196,196,405,13,196,4079,381,381,379,196,196,196,418,13,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-23 11:06:00,0
11212,11212,11212,11212,4073,184,404,184,184,395,9,184,4073,375,375,374,184,184,184,404,9,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-23 11:08:00,0
11220,11219,11219,11219,4082,188,409,188,188,397,12,188,4082,386,386,384,188,188,188,409,12,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 11:10:00,6
11189,11189,11189,11189,4070,172,473,172,172,409,64,172,4070,374,374,373,172,172,172,473,13,28,28,4,4,1,3,3,2,2,2,2,0,2023-11-23 11:12:00,53
11191,11191,11191,11191,4065,184,403,184,184,393,10,184,4065,379,379,378,184,184,184,403,10,28,28,4,4,1,4,4,3,2,2,2,0,2023-11-23 11:14:00,1
11189,11189,11189,11189,4070,182,403,182,182,395,8,182,4070,386,386,385,182,182,182,403,8,28,28,3,3,1,3,3,3,2,2,2,0,2023-11-23 11:16:00,5
11220,11221,11221,11221,4071,187,416,187,187,404,12,187,4071,379,379,379,187,187,187,416,12,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 11:18:00,0
11214,11210,11210,11210,4073,171,421,171,171,408,13,171,4073,371,371,371,171,171,171,421,13,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 11:20:00,0
10660,10664,10664,10664,3951,145,362,145,145,346,16,145,3951,333,333,332,145,145,145,362,16,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-23 11:22:00,9
10632,10632,10632,10632,4029,113,344,113,113,330,14,113,4029,296,296,296,113,113,113,344,14,26,26,3,3,0,3,3,3,2,2,2,0,2023-11-23 11:24:00,0
10768,10768,10768,10768,4080,109,348,109,109,339,9,109,4080,313,313,313,109,109,109,348,9,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 11:26:00,2
10754,10754,10754,10754,4086,114,346,114,114,335,11,114,4086,301,301,301,114,114,114,346,11,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 11:28:00,0
10774,10773,10773,10773,4086,120,345,120,120,336,9,120,4086,314,314,313,120,120,120,345,9,28,28,4,4,0,4,4,3,2,2,2,1,2023-11-23 11:30:00,1
10737,10737,10737,10737,4071,120,337,120,120,324,13,120,4071,290,290,290,120,120,120,337,13,30,30,6,6,0,6,6,5,2,2,2,0,2023-11-23 11:32:00,1
10758,10759,10759,10759,4081,111,347,111,111,338,9,111,4081,306,306,304,111,111,111,347,9,27,27,3,3,2,3,3,3,2,2,2,0,2023-11-23 11:34:00,0
10767,10766,10766,10766,4081,116,334,116,116,324,10,116,4081,301,301,300,116,116,116,334,10,24,24,0,0,0,0,0,0,2,2,2,1,2023-11-23 11:36:00,0
10775,10777,10775,10775,4096,116,343,116,116,332,11,116,4096,306,306,305,116,116,116,343,11,24,24,0,0,1,0,0,0,2,2,2,0,2023-11-23 11:38:00,0
10735,10736,10736,10736,4074,121,344,121,121,332,12,121,4074,306,306,306,121,121,121,344,12,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 11:40:00,6
10743,10742,10742,10742,4057,115,349,115,115,334,15,115,4057,309,309,308,115,115,115,349,15,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-23 11:42:00,0
10723,10722,10722,10722,4083,123,333,123,123,322,11,123,4083,294,294,294,123,123,123,333,11,27,27,3,3,0,3,3,2,2,2,2,0,2023-11-23 11:44:00,1
10758,10760,10760,10760,4063,115,361,115,115,342,19,115,4063,304,304,304,115,115,115,361,19,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 11:46:00,2
