parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-797d56fbd4-tsrm4"",metrics_path=""/metrics/cadvisor""} [1m]) * 100",target_metric
10264,10265,10265,10265,4068,48,304,48,48,296,8,48,4068,237,237,237,48,48,48,304,8,61,61,20,3,0,3,3,3,2,2,2,0,2023-11-23 18:00:00,61,1700733600,235.05859375,164977.06666666668,2694400.8,164977.06666666668,5.592945753333981,7.026238143334923,1
10165,10163,10163,10163,4010,44,272,44,44,264,8,44,4010,236,236,236,44,44,44,272,8,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 18:02:00,2,1700733720,235.453125,241101.33333333328,2519756.533333333,241101.33333333328,4.327358624444363,5.863882323337747,1
10234,10236,10236,10236,4054,48,293,48,48,282,11,48,4054,236,236,236,48,48,48,293,11,47,47,13,3,0,3,3,3,2,2,2,0,2023-11-23 18:04:00,30,1700733840,248.91015625,283333.86666666664,3092755.2,283333.86666666664,4.225818819997787,9.346743983333,1
10174,10170,10170,10170,4023,48,278,48,48,275,3,48,4023,236,236,236,48,48,48,278,3,41,41,10,3,0,3,3,3,2,2,2,0,2023-11-23 18:06:00,21,1700733960,235.82421875,165976.0,2540659.2,165976.0,5.2716919022188655,7.134698996669612,1
10202,10206,10206,10206,4042,48,305,48,48,296,9,48,4042,236,236,236,48,48,48,305,9,63,63,21,3,0,3,3,3,2,2,2,0,2023-11-23 18:08:00,59,1700734080,242.7265625,242420.0,2690677.066666667,242420.0,5.23031094666496,9.708269233336368,1
10244,10244,10244,10244,4059,48,312,48,48,301,11,48,4059,236,236,236,48,48,48,312,11,66,66,24,6,0,6,6,6,2,2,2,0,2023-11-23 18:10:00,54,1700734200,241.37890625,222556.26666666663,2428804.8,222556.26666666663,5.518239075552425,7.296011816670216,1
10247,10246,10246,10246,4069,48,312,48,48,307,5,48,4069,236,236,236,48,48,48,312,5,73,73,26,3,0,3,3,2,2,2,2,0,2023-11-23 18:12:00,70,1700734320,237.52734375,536442.9333333332,2930053.333333333,536442.9333333332,4.9812599244453155,6.647560559995327,1
10279,10280,10280,10280,4061,48,337,48,48,269,68,48,4061,241,241,240,48,48,48,337,17,33,33,7,5,1,4,4,3,2,2,2,0,2023-11-23 18:14:00,59,1700734440,244.4140625,351390.9333333333,3097442.666666666,351390.9333333333,9.622783966664834,11.787304076666866,1
10287,10287,10287,10287,4080,48,284,48,48,277,7,48,4080,236,236,236,48,48,48,284,7,41,41,10,3,0,3,3,3,2,2,2,0,2023-11-23 18:16:00,21,1700734560,242.0546875,285948.26666666666,2440537.6,285948.26666666666,7.79926822222074,11.622912973331644,1
10203,10202,10202,10202,4040,48,291,48,48,284,7,48,4040,236,236,236,48,48,48,291,7,50,50,16,6,0,6,6,6,2,2,2,0,2023-11-23 18:18:00,30,1700734680,236.77734375,232005.6,2726642.933333333,232005.6,7.7966463422247525,8.093535086663907,1
10314,10315,10315,10315,4086,48,292,48,48,273,19,48,4086,237,237,237,48,48,48,292,19,39,39,9,3,0,3,3,3,2,2,2,0,2023-11-23 18:20:00,18,1700734800,239.83984375,276982.4,2595450.666666666,276982.4,5.6129685622242205,8.544616709999293,1
10278,10278,10278,10278,4063,48,306,48,48,289,17,48,4063,238,238,237,48,48,48,306,17,53,53,16,3,1,3,3,3,2,2,2,0,2023-11-23 18:22:00,39,1700734920,243.41015625,220129.3333333333,2503033.333333333,220129.3333333333,5.309886506668894,8.376353819997652,1
10308,10306,10306,10306,4087,48,315,48,48,302,13,48,4087,238,238,237,48,48,48,315,13,66,66,23,4,1,4,4,4,2,2,2,0,2023-11-23 18:24:00,57,1700735040,241.03515625,258966.66666666663,3401699.2,258966.66666666663,4.990072171110823,7.018422433332793,1
10295,10296,10296,10296,4084,48,310,48,48,303,7,48,4084,237,237,237,48,48,48,310,7,67,67,24,5,0,5,5,5,2,2,2,0,2023-11-23 18:26:00,57,1700735160,240.16015625,106116.8,2010261.6,106116.8,3.839344777778833,8.182268249996318,1
10294,10294,10294,10294,4080,48,281,48,48,273,8,48,4080,237,237,237,48,48,48,281,8,39,39,9,3,0,3,3,3,2,2,2,0,2023-11-23 18:28:00,18,1700735280,241.69140625,278668.8,3328216.533333333,278668.8,4.372589804447165,8.400564066669176,1
10279,10280,10280,10280,4067,48,272,48,48,264,8,48,4067,239,239,238,48,48,48,272,8,28,28,4,4,0,4,4,3,2,2,2,1,2023-11-23 18:30:00,1,1700735400,235.35546875,229313.6,2825163.2,229313.6,5.153655673331943,7.443396646667679,1
10285,10285,10285,10285,4076,44,279,44,44,266,13,44,4076,237,237,237,44,44,44,279,13,30,30,6,6,0,6,6,5,2,2,2,0,2023-11-23 18:32:00,1,1700735520,236.87890625,338513.33333333326,2441297.066666667,338513.33333333326,2.4827984844442748,9.326212136669104,1
10320,10319,10319,10319,4096,48,274,48,48,263,11,48,4096,239,239,238,48,48,48,274,11,27,27,3,3,0,3,3,3,2,2,2,1,2023-11-23 18:34:00,0,1700735640,249.32421875,232485.86666666673,2827325.333333333,232485.86666666673,3.0398063799980766,6.598201359999317,1
10280,10281,10281,10281,4064,48,274,48,48,261,13,48,4064,237,237,237,48,48,48,274,13,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 18:36:00,2,1700735760,234.3359375,117605.86666666668,1369584.0,117605.86666666668,4.5583513377763065,7.675534433334785,1
10289,10286,10286,10286,4075,48,280,48,48,267,13,48,4075,236,236,236,48,48,48,280,13,31,31,5,3,0,3,3,3,2,2,2,0,2023-11-23 18:38:00,16,1700735880,236.28125,161299.2,3080821.8666666667,161299.2,4.3185300711128445,6.480231636663422,1
10304,10306,10306,10306,4084,48,282,48,48,273,9,48,4084,239,239,238,48,48,48,282,9,37,36,9,6,0,6,6,6,2,2,2,1,2023-11-23 18:40:00,9,1700736000,253.62109375,110989.86666666668,2095608.8,110989.86666666668,3.6671569066675143,6.1232046199984325,1
10187,10188,10188,10188,4033,48,271,48,48,261,10,48,4033,234,234,234,48,48,48,271,10,28,29,4,3,0,3,3,3,2,2,2,0,2023-11-23 18:42:00,3,1700736120,235.3203125,108262.66666666669,2091618.933333333,108262.66666666669,4.394333060000564,6.653259046670427,1
10297,10297,10297,10297,4082,48,270,48,48,262,8,48,4082,239,239,238,48,48,48,270,8,27,27,3,3,0,3,3,3,2,2,2,1,2023-11-23 18:44:00,2,1700736240,239.01953125,150097.86666666667,2266482.933333333,150097.86666666667,5.4163900933336775,7.147600006665017,1
10308,10308,10308,10308,4085,48,277,48,48,263,14,48,4085,236,236,236,48,48,48,277,14,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 18:46:00,0,1700736360,254.12890625,134268.26666666663,2586891.466666667,134268.26666666663,3.2568832799976613,3.7304049766680687,1
10307,10305,10306,10306,4080,48,281,48,48,266,15,48,4080,241,241,238,48,48,48,281,15,30,30,6,6,1,6,6,6,2,2,2,2,2023-11-23 18:48:00,0,1700736480,247.05859375,124077.06666666668,2343934.1333333333,124077.06666666668,5.014757651111318,3.629128036670105,1
