parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", node=""10.200.65.114"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-5778cb86bf-tmvfd"",metrics_path=""/metrics/cadvisor""} [1m]) * 100",target_metric
10298,10298,10298,10298,4082,48,273,48,48,263,10,48,4082,237,237,237,48,48,48,273,10,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 19:00:00,0,1700737200,259.23828125,5829669.333333332,5291877.866666666,5829669.333333332,14.360430144442944,20.90140471334356,1
10239,10237,10239,10239,4038,48,272,48,48,261,11,48,4038,238,238,237,48,48,48,272,11,27,27,3,3,1,3,3,3,2,2,2,0,2023-11-23 19:02:00,2,1700737320,258.44921875,4163907.2,3676578.933333333,4163907.2,14.40471384000072,29.330991346675248,1
10305,10305,10305,10305,4089,44,277,44,44,263,14,44,4089,237,237,237,44,44,44,277,14,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 19:04:00,9,1700737440,268.7734375,5452722.133333334,4883832.8,5452722.133333334,15.992437644454187,23.366757666663037,1
10221,10221,10221,10221,4055,48,263,48,48,258,5,48,4055,235,235,235,48,48,48,263,5,24,24,0,0,0,0,0,0,2,2,2,0,2023-11-23 19:06:00,1,1700737560,257.9140625,4839139.733333333,4588033.066666666,4839139.733333333,18.42378122444239,23.50292868999532,1
10299,10298,10298,10298,4080,48,269,48,48,260,9,48,4080,237,237,237,48,48,48,269,9,24,24,0,0,0,0,0,0,2,2,2,0,2023-11-23 19:08:00,0,1700737680,257.05859375,6767911.733333332,6081015.2,6767911.733333332,14.90396002887994,9.68755529000191,1
10288,10289,10289,10289,4070,48,277,48,48,261,16,48,4070,237,237,237,48,48,48,277,16,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 19:10:00,0,1700737800,260.7578125,2142328.8,2114520.0,2142328.8,15.439350695556236,27.91528205333937,1
10305,10303,10303,10303,4085,48,280,48,48,266,14,48,4085,237,237,237,48,48,48,280,14,30,30,6,6,0,6,6,6,2,2,2,0,2023-11-23 19:12:00,0,1700737920,261.3203125,4800544.0,4325114.133333334,4800544.0,12.374934402210377,12.600109026655748,1
10296,10298,10298,10298,4069,48,335,48,48,264,71,48,4069,237,237,237,48,48,48,335,20,28,28,4,4,0,3,3,2,2,2,2,0,2023-11-23 19:14:00,53,1700738040,260.66796875,6245018.666666668,5838353.866666666,6245018.666666668,12.44635042666535,30.303257873335195,1
10310,10310,10310,10310,4085,48,273,48,48,264,9,48,4085,238,238,238,48,48,48,273,9,28,28,4,4,0,4,4,3,2,2,2,0,2023-11-23 19:16:00,1,1700738160,271.42578125,4922591.733333333,4574351.466666667,4922591.733333333,14.623412257788004,13.273414276676094,1
10301,10300,10300,10300,4080,48,270,48,48,263,7,48,4080,237,237,237,48,48,48,270,7,27,27,3,3,0,3,3,3,2,2,2,0,2023-11-23 19:18:00,0,1700738280,258.04296875,5561899.733333333,5083057.333333333,5561899.733333333,7.135584815550827,12.150094376678073,1
