parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,GetSupervisorPosition success,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", node=""10.200.64.186"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", node=""10.200.64.186"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", node=""10.200.64.186"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",metrics_path=""/metrics/cadvisor""} [1m]) * 100",target_metric
5650,5657,5651,5651,2037,94,267,94,94,205,2037,62,94,190,190,186,94,94,94,267,62,27,27,3,3,4,3,3,3,2,2,2,4,2023-11-30 10:00:00,0,1701334800,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5585,5584,5584,5584,2000,88,267,88,88,221,2000,46,88,192,192,190,88,88,88,267,46,29,29,6,6,2,6,6,6,2,2,2,2,2023-11-30 10:02:00,0,1701334920,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5639,5640,5640,5640,2037,90,263,90,90,208,2037,55,90,180,180,179,90,90,90,263,55,27,27,3,3,0,3,3,3,2,2,2,1,2023-11-30 10:04:00,0,1701335040,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5683,5684,5682,5682,2038,87,270,87,87,209,2038,61,87,197,197,188,87,87,87,270,61,28,28,4,4,7,4,4,3,2,2,2,9,2023-11-30 10:06:00,1,1701335160,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5684,5685,5685,5685,2035,87,290,87,87,229,2035,61,87,194,194,189,87,87,87,290,61,30,30,6,6,1,6,6,5,2,2,2,5,2023-11-30 10:08:00,1,1701335280,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5651,5653,5651,5651,2035,99,278,99,99,222,2035,56,99,187,187,182,99,99,99,278,56,28,28,3,3,5,3,3,3,2,2,2,5,2023-11-30 10:10:00,0,1701335400,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5635,5635,5635,5635,2030,91,261,91,91,215,2030,46,91,180,180,179,91,91,91,261,46,27,27,3,3,1,3,3,3,2,2,2,1,2023-11-30 10:12:00,0,1701335520,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5625,5623,5623,5623,2036,88,240,88,88,209,2036,31,88,185,185,183,88,88,88,240,31,27,27,3,3,2,3,3,3,2,2,2,2,2023-11-30 10:14:00,0,1701335640,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5650,5653,5651,5651,2041,94,329,94,94,216,2041,113,94,188,188,187,94,94,94,329,62,31,31,7,7,1,6,6,6,2,2,2,1,2023-11-30 10:16:00,52,1701335760,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
5661,5662,5662,5662,2043,81,268,81,81,205,2043,63,81,190,190,188,81,81,81,268,63,27,27,3,3,2,3,3,3,2,2,2,2,2023-11-30 10:18:00,10,1701335880,238.046875,63518984.92323555,4246153.834417778,63518984.92323555,83.79584072222222,132.73167357,1
