timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} [1m]) * 100","(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",biz_code=""6000"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m])))*100","sum(rate(std_requests_total{job=""be/yid"",code=~""2.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))","sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""OK""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""Unknown""}[1m]))","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)","1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", bizcode=""6000""}[1m]) or increase(std_requests_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",code=~""5..""}[1m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",environment=""rc""}[1m])))","sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""OK"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"" ,grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[1m]))","sum(rate(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""OK""}[1m]))"
1702778520,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702778640,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702778760,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702778880,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779000,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779120,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779240,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779360,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779480,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779600,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779720,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779840,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702779960,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780080,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780200,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780320,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780440,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780560,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780680,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780800,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702780920,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781040,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781160,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781280,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781400,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781520,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781640,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781760,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702781880,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782000,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782120,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782240,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782360,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782480,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782600,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782720,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782840,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702782960,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783080,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783200,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783320,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783440,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783560,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783680,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783800,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702783920,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784040,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784160,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784280,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784400,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784520,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784640,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784760,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702784880,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785000,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785120,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785240,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785360,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785480,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785600,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785720,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785840,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702785960,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786080,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786200,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786320,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786440,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786560,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786680,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786800,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702786920,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787040,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787160,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787280,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787400,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787520,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
1702787640,304.828125,4312537.866666666,3736621.6,4312537.866666666,14.784006659998946,16.61638314665955,100,0,0.19999272753718048,1392.410145091505,0,1,1,0.13398753690247212,8.36333224246391
