parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,msg,no need compute team member perm,Response=<:MAP:>,message,approve callback start,svc.ApproveCallback failed,approve status error,superiorAndDeputy empty,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,strconv.ParseIn<:updateFanweiEmployee failed:>,getBackupEm<:updateFanweiEmployee failed:>,callback status error,timestamp,unknown,timestamp,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8.1","(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} [1m]) * 100","(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",biz_code=""6000"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m])))*100","sum(rate(std_requests_total{job=""be/yid"",code=~""2.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))","sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""OK""}[1m]))","sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""Unknown""}[1m]))","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)","1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", bizcode=""6000""}[1m]) or increase(std_requests_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",code=~""5..""}[1m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",environment=""rc""}[1m])))","sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""OK"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"" ,grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[1m]))",target_metric
5182,5182,5182,5182,2019,24,221,24,145,2019,76,24,121,121,121,24,24,221,76,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:00:00,0,1702803600,255.31640625,1735829.333333333,2745584.8,1735829.333333333,13.375413946665098,16.19678380334032,100,0.0,0.1998510201486165,2593.339510546684,0.0,1,1.0,0.6903944332406752,0.32702894206137245
5142,5141,5141,5141,2006,24,209,24,146,2006,63,24,117,117,117,24,24,209,63,30,30,1,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:02:00,0,1702803720,259.67578125,2244232.8,3436283.733333333,2244232.8,6.255336084448369,9.930436810003206,100,0.05455041367397037,0.20001818347122466,2578.05255023184,0.0,1,0.7857142857142857,0.5455041367397037,0.3273024820438222
5191,5190,5190,5190,2028,24,316,24,145,2028,171,24,118,118,118,24,24,316,171,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:04:00,0,1702803840,260.74609375,2429310.1333333333,3413597.066666667,2429310.1333333333,9.473944862224421,15.600253666658926,100,0.07285443683520326,0.20034970129680896,2615.1100101996203,0.0,1,0.7333333333333334,0.6739035407256302,0.3460585749672155
5163,5165,5165,5165,2019,24,203,24,144,2019,59,24,118,118,118,24,24,203,59,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:06:00,0,1702803960,260.5859375,1323289.6,2294516.8,1323289.6,14.842358602230284,16.033361786661164,100,0.0,0.2000036364297533,2581.137838869798,0.0,1,1.0,0.5091001654575538,0.3272786777941417
5167,5167,5167,5167,2020,24,208,24,145,2020,63,24,118,118,118,24,24,208,63,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 17:08:00,0,1702804080,260.75,2214897.6,3364317.6,2214897.6,7.88408112666932,13.831022313315772,100,0.01818181818181818,0.2,2548.363636363636,0.0,1,0.9166666666666666,0.0,0.3272727272727272
5189,5189,5189,5189,2027,24,215,24,147,2027,68,24,119,119,119,24,24,215,68,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:10:00,0,1702804200,262.8828125,2461462.933333333,3657711.466666667,2461462.933333333,12.315982542220604,11.509725833335931,100,0.054547438088657765,0.20000727299174512,2561.5476926433685,0.0,1,0.7857142857142857,0.0,0.32728462853194656
5130,5129,5129,5129,2018,24,173,24,144,2018,29,24,118,118,118,24,24,173,29,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:12:00,0,1702804320,263.32421875,2078121.066666667,3116454.4,2078121.066666667,10.002659608888077,23.06901866667128,100,0.054537521815008726,0.19997091332169867,2540.3577661431063,0.0,1,0.7857142857142857,0.0,0.32722513089005234
5174,5175,5175,5175,2025,24,206,24,145,2025,61,24,119,119,119,24,24,206,61,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 17:14:00,0,1702804440,261.76953125,2775420.533333333,4021305.866666666,2775420.533333333,14.631550488880347,17.546350099995227,100,0.0,0.19999272753718048,2583.1787934984186,0.0,1,1.0,0.5999781826115415,0.3272608268790226
5158,5157,5157,5157,2007,24,231,24,148,2007,83,24,118,118,118,24,24,231,83,31,31,0,24,7,7,7,7,7,0,2,2,2,0,0,0,2023-12-17 17:16:00,0,1702804560,257.0859375,2287189.333333333,3358826.4,2287189.333333333,11.415179113327111,21.98411513333364,100,0.07271801770683732,0.1999745486938026,2581.8532186812586,0.0,1,0.7333333333333333,0.5999236460814078,0.3272310796807679
5161,5161,5161,5161,2023,24,200,24,143,2023,57,24,118,118,118,24,24,200,57,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:18:00,0,1702804680,257.47265625,2907434.933333333,4244287.733333333,2907434.933333333,12.636660753325687,17.687673559994433,100,0.054552397577873564,0.2000254577855364,2573.782117724075,0.0,1,0.7857142857142857,0.5091557107268199,0.3273143854672413
5169,5170,5170,5170,2021,22,209,22,144,2021,65,22,119,119,119,22,22,209,65,27,27,0,22,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:20:00,0,1702804800,266.8515625,3328685.6,4853811.733333333,3328685.6,7.025781440008563,17.179673203330214,100,0.0,0.19981834695731152,2595.0953678474107,0.0,1,1.0,0.581289736603088,0.32697547683923706
5159,5159,5159,5159,2017,24,204,24,145,2017,59,24,118,118,118,24,24,204,59,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:22:00,0,1702804920,257.140625,2970584.0,4313932.266666667,2970584.0,14.613227944452472,18.81421206332258,100,0.0,0.20003273262897564,2576.0579003837,0.0,1,1.0,0.3818806713825899,0.3273262897565056
5160,5159,5159,5159,2021,24,200,24,147,2021,53,24,118,118,118,24,24,200,53,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:24:00,0,1702805040,258.01953125,1860404.5333333332,2895734.933333333,1860404.5333333332,13.05247267777708,20.682083040010184,100,0.05454644629902362,0.2000036364297533,2571.3194785359733,0.0,1,0.7857142857142857,0.4000072728595066,0.3272786777941417
5203,5204,5203,5203,2031,24,222,24,146,2031,76,24,118,118,118,24,24,222,76,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 17:26:00,0,1702805160,256.203125,2945598.4,4421418.133333334,2945598.4,13.414347826668136,15.242714549992039,100,0.054543471146503764,0.19999272753718048,2591.905748881859,0.0,1,0.7857142857142857,0.5454347114650376,0.3272608268790226
5188,5189,5189,5189,2029,24,208,24,144,2029,64,24,119,119,119,24,24,208,64,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:28:00,0,1702805280,270.515625,3322957.066666667,4818368.8,3322957.066666667,9.944600011108882,21.19496774668126,100,0.0,0.1999963637024781,2598.4982091234706,0.0,1,1.0,0.5636261158888021,0.3272667769676915
5168,5168,5168,5168,2027,24,199,24,148,2027,51,24,118,118,118,24,24,199,51,31,31,0,24,7,7,7,7,6,0,2,2,2,0,0,1,2023-12-17 17:30:00,0,1702805400,269.01171875,2312331.733333333,3352720.533333333,2312331.733333333,12.568192648888928,13.389669913328056,100,0.07272462819533836,0.19999272753718048,2588.6331406130685,0.0,1,0.7333333333333334,0.4181666121231956,0.3272608268790226
5185,5182,5182,5182,2026,24,209,24,145,2026,64,24,119,119,119,24,24,209,64,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:32:00,0,1702805520,267.26171875,3065635.466666667,4402558.4,3065635.466666667,11.50841292443349,15.866673886654706,100,0.054556365818618266,0.20004000800160032,2583.789485169761,0.0,1,0.7857142857142857,0.4728218370946917,0.3273381949117096
5181,5184,5184,5184,2030,24,204,24,145,2030,59,24,118,118,118,24,24,204,59,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:34:00,0,1702805640,258.62890625,2373290.933333333,3378346.666666666,2373290.933333333,12.806905893327592,19.22508115999032,100,0.0,0.19997091332169867,2601.439790575916,0.0,1,1.0,0.5090168702734148,0.32722513089005234
5167,5167,5167,5167,2016,24,215,24,147,2016,68,24,118,118,118,24,24,215,68,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:36:00,0,1702805760,257.9765625,1918996.0,2970350.933333333,1918996.0,12.961601551117685,19.59735398668272,100,0.0,0.2000036364297533,2571.319478535973,0.0,1,1.0,0.4363715703921889,0.3272786777941417
5180,5180,5180,5180,2028,24,207,24,145,2028,62,24,118,118,118,24,24,207,62,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:38:00,0,1702805880,269.80859375,2956754.4,4271285.333333333,2956754.4,10.91423965998628,18.942785010003718,100,0.07273256236817223,0.2000145465124736,2605.280384027929,0.0,1,0.7333333333333334,0.6182267801294639,0.3454796712488181
5164,5165,5164,5164,2012,24,225,24,143,2012,82,24,119,119,119,24,24,225,82,26,26,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:40:00,0,1702806000,266.24609375,2090166.933333333,3194442.4,2090166.933333333,10.756915344455694,11.938106263332884,100,0.05454644629902362,0.2000036364297533,2611.683848797252,0.0,1,0.7857142857142857,0.8545609920180367,0.3272786777941417
5525,5525,5524,5524,2151,26,240,26,154,2151,86,26,127,127,127,26,26,240,86,30,30,0,26,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 17:42:00,0,1702806120,267.07421875,3154518.1333333333,4538778.666666667,3154518.1333333333,7.883250199989157,19.577081690003983,100,0.01818446319464649,0.20002909514111145,2585.8306662787318,0.0,1,0.9166666666666666,0.5637183590340413,0.3273203375036369
5202,5203,5203,5203,2032,24,217,24,148,2032,69,24,120,120,120,24,24,217,69,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:44:00,0,1702806240,266.4296875,2364947.7087152144,3290036.193967672,2364947.7087152144,15.670286887741137,15.391562266292048,100,0.054545454545454536,0.2,2612.727272727273,0.0,1,0.7857142857142857,0.7272727272727272,0.3272727272727272
5195,5194,5194,5194,2025,23,223,23,144,2025,79,23,119,119,119,23,23,223,79,27,27,0,23,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:46:00,0,1702806360,259.9609375,2620196.266666666,3884544.0,2620196.266666666,11.730352240006646,18.001678963337323,100,0.05455438162608427,0.20003273262897564,2585.8776890763943,0.0,1,0.7857142857142857,0.5637286101362041,0.34551108363186706
5158,5159,5159,5159,2019,23,200,23,145,2019,55,23,119,119,119,23,23,200,55,28,28,0,23,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 17:48:00,0,1702806480,258.79296875,1512768.5333333334,2197958.4,1512768.5333333334,12.11154336665964,20.68569050000709,100,0.0,0.1998510201486165,2570.4474846023872,0.0,1,1.0,0.3633654911793027,0.32702894206137245
5198,5198,5198,5198,2037,24,208,24,148,2037,60,24,118,118,118,24,24,208,60,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:50:00,0,1702806600,267.0625,2240772.0,3281614.1333333333,2240772.0,17.007270900002265,13.813074589997996,100,0.0,0.19997091332169867,2593.804537521815,0.0,1,1.0,0.5453752181500872,0.32722513089005234
5172,5172,5172,5172,2020,24,213,24,145,2020,68,24,118,118,118,24,24,213,68,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:52:00,0,1702806720,259.9375,1497849.6,2281523.733333333,1497849.6,12.06408250444737,13.646379946658273,100,0.0545404963185165,0.19998181983456048,2584.128715571312,0.0,1,0.7857142857142857,0.6181256249431869,0.32724297791109896
5164,5164,5164,5164,2022,24,202,24,144,2022,58,24,119,119,119,24,24,202,58,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 17:54:00,0,1702806840,265.66015625,1830292.2666666661,2543580.0,1830292.2666666661,15.068850351106247,16.394161646676366,100,0.05453950478129658,0.1999781841980875,2581.9001563465804,0.0,1,0.7857142857142857,0.5817547176671636,0.32723702868777954
5168,5167,5167,5167,2011,24,221,24,144,2011,77,24,118,118,118,24,24,221,77,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 17:56:00,0,1702806960,261.33203125,1793413.066666667,2799925.6,1793413.066666667,5.8966006266645214,19.356882710004964,100,0.0,0.1999781841980875,2576.4462058684508,0.0,1,1.0,0.5817547176671636,0.32723702868777954
5176,5176,5176,5176,2016,24,225,24,147,2016,78,24,119,119,119,24,24,225,78,31,31,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 17:58:00,0,1702807080,255.76953125,1964128.0,2784477.8666666667,1964128.0,9.805758777769775,15.456330583328965,100,0.054547438088657765,0.2000072729917452,2599.73089930543,0.0,1,0.7857142857142857,0.8000290919669807,0.3272846285319467
5127,5128,5128,5128,2001,24,210,24,143,2001,67,24,118,118,118,24,24,210,67,27,27,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 18:00:00,0,1702807200,265.546875,2522436.266666666,3918802.4,2522436.266666666,13.33796472222376,11.120401256678937,100,0.054547438088657765,0.20000727299174512,2580.0938215935125,0.0,1,0.7857142857142857,0.5454743808865776,0.32728462853194656
5166,5165,5166,5166,2018,24,301,24,145,2018,156,24,119,119,119,24,24,301,156,27,27,2,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 18:02:00,0,1702807320,261.37890625,1950262.4,3131672.266666666,1950262.4,10.501262351123536,16.731197036666952,100,0.0,0.2,2581.090909090909,0.0,1,1.0,0.5818181818181818,0.3272727272727272
5165,5165,5165,5164,2021,24,207,24,144,2021,63,24,118,118,118,24,24,207,63,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 18:04:00,0,1702807440,259.1796875,2478954.666666666,3844700.533333333,2478954.666666666,9.4617966733252,22.65600493332992,100,0.018181487609316198,0.1999963637024781,2584.316648788204,0.0,1,0.9166666666666666,0.6181705787167505,0.3272667769676915
5179,5180,5179,5180,2020,24,221,24,147,2020,74,24,118,118,118,24,24,221,74,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 18:06:00,0,1702807560,263.71875,2883724.266666666,4188611.7333333325,2883724.266666666,11.343440284448054,16.26205729999735,100,0.054545454545454536,0.2,2590.9090909090905,0.0,1,0.7857142857142857,0.6363636363636364,0.3272727272727272
5189,5189,5189,5189,2025,24,223,24,146,2025,77,24,118,118,118,24,24,223,77,28,28,0,24,4,4,4,4,4,0,2,2,2,0,0,0,2023-12-17 18:08:00,0,1702807680,262.91015625,2120194.666666666,3176993.6,2120194.666666666,10.105598315551306,14.340259849996073,100,0.0727100867067784,0.19995273844364064,2551.0333921073197,0.0,1,0.7333333333333334,0.0727100867067784,0.3271953901805028
5210,5208,5208,5208,2032,24,223,24,144,2032,79,24,120,120,120,24,24,223,79,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 18:10:00,0,1702807800,263.453125,2842433.8666666667,4044044.533333333,2842433.8666666667,12.03697297777075,20.076344603342783,100,0.0,0.2,2570.1818181818185,0.0,1,1.0,0.0,0.3272727272727272
5135,5136,5136,5136,2020,22,179,22,148,2020,31,22,118,118,118,22,22,179,31,31,31,0,22,7,7,7,7,7,0,2,2,2,0,0,0,2023-12-17 18:12:00,0,1702807920,265.4921875,2390243.2,3548527.466666667,2390243.2,11.044473177769556,17.468270916651818,100,0.07272727272727272,0.2,2554.9090909090905,0.0,1,0.7333333333333334,0.0,0.34545454545454546
5164,5165,5165,5165,2022,24,203,24,144,2022,59,24,118,118,118,24,24,203,59,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 18:14:00,0,1702808040,258.64453125,2717719.2,4233490.4,2717719.2,7.50956847332418,19.736265930017304,100,0.05454446282794858,0.1999963637024781,2571.2259777094964,0.0,1,0.7857142857142857,0.4909001654515372,0.3272667769676915
5189,5189,5189,5189,2023,24,221,24,145,2023,76,24,118,118,118,24,24,221,76,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 18:16:00,0,1702808160,256.65625,1862641.333333333,2547215.2,1862641.333333333,11.796429793321295,7.483659923333713,100,0.01818512456810329,0.2000363702491362,2600.1091107474085,0.0,1,0.9166666666666666,0.6182942353155119,0.3273322422258592
5184,5183,5183,5183,2034,24,204,24,148,2034,56,24,118,118,118,24,24,204,56,30,30,0,24,6,6,6,6,6,0,2,2,2,0,0,0,2023-12-17 18:18:00,0,1702808280,254.953125,2296457.066666667,3402090.4,2296457.066666667,9.34462408889279,13.64923980331999,100,0.0,0.2,2590.909090909091,0.0,1,1.0,0.4363636363636363,0.3272727272727272
5192,5193,5193,5193,2031,24,209,24,144,2031,65,24,119,119,119,24,24,209,65,27,27,0,24,3,3,3,3,3,0,2,2,2,0,0,0,2023-12-17 18:20:00,0,1702808400,257.421875,2815830.666666666,4056653.066666667,2815830.666666666,13.576615686664205,16.145844446655246,100,0.054476121300163424,0.19974577810059926,2613.7642999818413,0.0,1,0.7857142857142857,0.7445069911022334,0.3268567278009806
5156,5154,5154,5154,2016,24,202,24,145,2016,57,24,118,118,118,24,24,202,57,28,28,0,24,4,4,4,4,3,0,2,2,2,0,0,1,2023-12-17 18:22:00,0,1702808520,258.3203125,2265213.333333333,3247001.333333333,2265213.333333333,12.607392651100076,22.883558123333692,100,0.054545454545454536,0.2,2595.272727272727,0.0,1,0.7857142857142857,0.5454545454545454,0.3272727272727272
