<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,begin Consume call,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,receive <:*:>,deal<:SmsCallback:>,dealSmsCallback complete <:callback:>,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,PushSmsOrderResult: <:result:>,getAppSmsLimit <:*:> not exist,not find dictionary type=<:NUM:>,scCallBack receive <:request:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,WeChatMsg Send WechatMsg <:*:> <:*:> <:overLimit:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,send by <:*:> OrderID=<:SEQ:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,SendWeChatMsg <:*:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,juhe sendSms <:rs:>,ykmsymsg <:*:> start kms,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,msg,timestamp,unknown
943,939,17,0,20,0,6,8,8,8,0,7,5,71,0,13,13,0,0,7,0,0,1,0,0,0,0,0,5,0,5,8,6,1,0,2,1,1,1,1,2,1,16,2023-10-05 09:43:24,2
931,922,360,325,39,6,15,14,14,14,5,14,5,30,4,23,23,3,3,16,3,3,0,1,1,1,1,1,3,6,5,0,0,0,0,0,1,0,0,0,0,0,23,2023-10-05 09:45:24,4
959,944,1169,855,34,0,16,19,19,19,0,18,6,41,0,17,17,0,0,17,0,0,3,0,0,0,0,0,6,8,5,9,6,1,0,2,0,1,1,1,2,1,20,2023-10-05 09:47:24,4
921,915,987,969,21,0,7,8,8,8,0,8,1,45,0,14,14,0,0,7,0,0,1,0,0,0,0,0,3,3,5,2,6,0,0,2,1,1,1,1,2,1,17,2023-10-05 09:49:24,2
937,926,1145,827,35,12,24,25,25,25,10,24,4,30,4,8,8,2,2,27,2,2,0,2,2,2,2,2,2,8,5,0,0,1,0,0,1,0,0,0,0,0,8,2023-10-05 09:51:24,8
969,955,905,883,22,42,9,12,11,11,35,11,5,71,20,6,6,15,15,16,15,13,0,7,7,7,7,7,1,4,5,8,6,0,1,2,1,1,1,1,2,1,9,2023-10-05 09:53:24,5
928,923,897,875,25,18,10,10,10,10,15,10,2,45,7,11,11,4,4,14,4,4,0,3,3,3,3,3,3,5,5,8,6,1,0,2,1,1,1,1,2,1,14,2023-10-05 09:55:24,3
975,973,1138,816,39,60,7,6,6,6,50,6,2,41,29,22,22,19,19,17,19,19,0,10,10,10,10,10,3,1,5,7,6,0,0,2,0,1,1,1,2,1,25,2023-10-05 09:57:24,2
961,954,924,883,46,84,15,16,16,16,70,15,3,30,41,16,16,27,27,30,27,27,0,14,14,14,14,14,5,5,5,0,0,1,0,0,1,0,0,0,0,0,16,2023-10-05 09:59:24,2
1072,1053,1461,896,293,358,24,18,22,22,298,13,5,45,119,203,203,59,59,90,59,59,9,60,60,60,60,60,11,4,5,3,6,6,0,2,1,1,1,1,2,1,206,2023-10-05 10:01:24,26
