<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,begin Consume call,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,RecordThirdPartyCost,scCallBack receive <:request:>,receive <:*:>,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,deal<:SmsCallback:>,dealSmsCallback complete <:callback:>,not find dictionary type=<:NUM:>,PushSmsOrderResult: <:result:>,WeChatMsg Send WechatMsg <:*:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,send by <:*:> OrderID=<:SEQ:>,dealMailCallback complete <:callback:>,<:dealMailCallback:>,PushMailSendResult: <:result:>,begin SendMailTask,use preferred orderID=<:SEQ:> <:channel:>,scCallBack DealCallBack <:event:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,getAppSmsLimit <:*:> not exist,SendWeChatMsg <:*:>,juhe sendSms <:rs:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,<:ChineseInfo:>,<:NUM:> <:*:>,load <:*:> config ok,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,resetApproveCallbackTask taskID=<:SEQ:>,dealSmsCallback dealSmsCallbackRetry <:order:>,<:AliMailCallback:>,ykmsymsg <:*:> start kms,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,sendWeChatMsg SendMsg failed,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,sendSmsMsg failed <:*:> <:*:>,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,timestamp,unknown
1006,974,64,0,42,35,102,18,39,37,38,38,30,34,54,54,48,11,11,11,7,7,11,7,7,7,26,34,10,9,3,9,6,4,2,3,0,2,3,4,1,1,1,2,1,0,0,2024-01-04 19:59:49,12
991,968,402,0,18,15,100,10,36,40,35,35,30,32,54,54,46,9,9,9,3,3,7,3,3,3,20,39,7,7,2,0,0,4,2,3,2,0,0,0,0,0,0,0,0,0,0,2024-01-04 20:01:49,5
937,928,33,0,18,15,37,10,12,13,12,12,45,12,20,20,17,9,9,9,3,3,7,3,3,3,10,4,3,1,0,9,6,4,2,1,2,2,0,1,1,1,1,2,1,1,1,2024-01-04 20:03:49,1
960,939,382,0,12,10,45,4,23,20,22,22,30,21,23,23,22,6,6,6,2,2,2,2,2,2,6,8,8,3,1,8,6,4,2,0,4,2,1,2,1,1,1,2,1,0,1,2024-01-04 20:05:49,1
974,969,885,847,12,10,34,4,14,13,14,14,30,15,19,19,15,2,2,2,2,2,2,2,2,2,11,10,2,1,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,1,2,2024-01-04 20:07:49,1
948,930,915,871,49,41,49,16,22,19,22,22,30,20,21,21,28,8,8,8,8,8,8,8,8,8,8,6,9,4,1,7,6,4,2,1,0,2,2,3,1,1,1,2,1,1,0,2024-01-04 20:09:49,7
966,946,1273,881,53,44,60,18,52,32,50,50,45,50,19,19,41,9,9,9,9,9,9,9,9,9,21,9,7,8,2,9,6,4,2,0,0,2,1,1,1,1,1,2,1,0,0,2024-01-04 20:11:49,1
954,936,881,842,24,20,44,8,27,24,25,25,30,25,16,16,28,4,4,4,4,4,4,4,4,4,12,6,4,6,2,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,1,2024-01-04 20:13:49,0
957,942,1213,837,0,0,47,0,22,21,21,21,30,21,26,26,21,0,0,0,0,0,0,0,0,0,13,13,3,8,1,8,6,4,2,0,0,2,0,0,1,1,1,2,1,0,1,2024-01-04 20:15:49,0
968,954,873,834,24,20,47,8,31,26,29,29,30,28,15,15,32,4,4,4,4,4,4,4,4,4,10,7,4,7,2,0,0,4,2,2,0,0,1,1,0,0,0,0,0,1,2,2024-01-04 20:17:49,4
